Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
57.34%,581632,0.0012135018,16417,7699.08730652,1170.0263426303864,0.8152929467149079,0.00735717983532332,0.009539038015282131,0.04478122579630508,0.061677443646910524
58.16%,589824,0.0014022145,16429,7878.064046199999,1186.4894151687622,0.8072911379858851,0.0067817953892122616,0.009443222388654249,0.036983995953096385,0.053209013730962894
58.98%,598016,0.0011557984,16437,8153.43560344,1202.9423933029175,0.8087400578893721,0.0037537237674370714,0.010175032144616125,0.041568719498354764,0.05549747541040796
59.8%,606208,0.0010158878,16445,8492.13590902,1219.3828024864197,0.8203884727321565,0.005344993125897877,0.0097631033630023,0.03281673988840339,0.04792483637730357
60.62%,614400,0.0012659339,16454,8282.84552762,1235.9445469379425,0.8187469848431647,0.004340170144443077,0.009461313560314011,0.03327975164374948,0.04708123534850657
61.44%,622592,0.0022518889,16470,7343.735168299999,1252.3452405929565,0.8037172586657106,0.0027814786930933926,0.009714694223293917,0.03614550335237254,0.04864167626875985
62.26%,630784,0.0014424628,16479,7255.292084840001,1268.84343957901,0.7956644111312926,0.00873305523410889,0.010512722088969894,0.06946916671186046,0.08871494403493924
63.08%,638976,0.001243058,16488,7307.33045138,1285.3348948955536,0.805468098539859,0.003005095395875744,0.010209354229300516,0.03260770695942483,0.04582215658460109
63.9%,647168,0.0014355118,16500,6768.8684901000015,1301.7808077335358,0.829805844835937,0.003415140386391747,0.009592702780355466,0.04082236170688702,0.053830204873634234
64.72%,655360,0.0013432598,16509,7088.579069399999,1318.2666451931,0.8408288780599833,0.005505389823844925,0.009389375511455,0.04777260556461442,0.06266737089991434
65.54%,663552,0.0011647724,16519,7613.14992266,1335.1001403331757,0.846602168213576,0.00407043869042237,0.009086432791264087,0.03663465470162919,0.04979152618331564
66.36%,671744,0.0012476308,16528,7929.844887139999,1351.7674908638,0.8242891206406057,0.006687959355505932,0.009008950011048001,0.040047647220762886,0.05574455658731682
67.17%,679936,0.0012592595,16538,7702.7681013400015,1368.4568407535553,0.8047253626398743,0.002708368397862957,0.00970466296093946,0.03926653263956723,0.05167956399836965
67.99%,688128,0.0010668783,16546,8272.54989812,1385.0974869728088,0.8224739488214254,0.003648184319079581,0.009920654162124265,0.04283542796410984,0.05640426644531369
68.81%,696320,0.0011613875,16556,8143.82502584,1401.2940952777863,0.827284355647862,0.005045435493298967,0.009202394124076817,0.03441585111909262,0.04866368073646841
69.63%,704512,0.0011264721,16566,7874.478074619999,1418.1001558303833,0.8160884331911802,0.004645237149340957,0.009592287907071295,0.03950880296131345,0.0537463280177257
70.45%,712704,0.0009866012,16574,8309.503946559998,1434.5059306621552,0.8127406083978712,0.004510777903947461,0.009809801757364766,0.03948689229569027,0.053807471957002494
71.27%,720896,0.0010325882,16585,8103.793946180001,1450.9635014533997,0.8119623383507133,0.0041978810492628,0.009868837242902374,0.033946515287789227,0.04801323357995439
72.09%,729088,0.0009713411,16593,8243.368346180001,1467.171287536621,0.8098786031827331,0.004225147294828505,0.009908978044404649,0.044951809703343316,0.05908593504257646
72.91%,737280,0.0010521557,16601,8336.32079122,1483.215362071991,0.8019055153243244,0.004032351528339446,0.00965675487277622,0.034327187187227534,0.0480162935883432
