total_time,num_episodes,ep_rew_mean,mean_int_reward,Progress,total timesteps,icm_loss,value_loss,entropy_loss,policy_gradient_loss,total_loss
736.2530434131622,1904,1000.0,0.0026488104,40.14%,409600,0.13191587006440386,0.0723945064979489,-0.5056882894132286,-0.0010798290403393521,0.20323054752201344
751.2992939949036,1912,1000.0,0.0029816943,40.96%,417792,0.13158262873184867,0.0735418656272259,-0.49307884976733474,-8.229892621395905e-05,0.2050421954328606
768.0532946586609,1920,1000.0,0.0028990513,41.78%,425984,0.12671407280722632,0.07356402205759878,-0.49141074288636444,-0.0014450607364667983,0.19883303412835832
784.9996798038483,1928,1000.0,0.0027608319,42.6%,434176,0.1272411061450839,0.07358303270598299,-0.5000369459856302,-0.0012759717485613079,0.19954816710250559
798.9492869377136,1936,1000.0,0.0028353422,43.42%,442368,0.12800395872909576,0.07314424501664689,-0.5170479309279472,0.00019638995948835164,0.201344593705231
813.8112463951111,1944,1000.0,0.0030683759,44.24%,450560,0.13532120368327014,0.07352835177630368,-0.5266233388334512,-0.00021531358489080388,0.20863424187468302
829.1449956893921,1953,1000.0,0.0027150969,45.06%,458752,0.13586889995494858,0.07441923302458235,-0.523342720605433,-0.0010253120786594323,0.2092628209008715
843.7375705242157,1961,1000.0,0.0029289418,45.88%,466944,0.1277477908413857,0.08451515654751347,-0.5165922811254859,-0.00201828451228098,0.2102446628766182
858.6289713382721,1969,1000.0,0.0026050406,46.69%,475136,0.1338093585742172,0.07465593656897909,-0.5081407014746219,-0.0027387187411852393,0.20572657640201103
873.5701026916504,1977,1000.0,0.002928513,47.51%,483328,0.13179406908457167,0.07891896786495636,-0.5019830769859255,-0.002052823422162024,0.208660213527366
888.4303112030029,1985,1000.0,0.002639333,48.33%,491520,0.12997607304132544,0.08110081855074895,-0.5023886343231425,-0.0019503604327849393,0.20912653115928945
903.0739459991455,1994,1000.0,0.0027091557,49.15%,499712,0.12695213199476713,0.08707106750825915,-0.4973180652828887,-0.0015910450054975641,0.21243215449752872
918.3379850387573,2003,1000.0,0.0030985739,49.97%,507904,0.12565994841861539,0.09653249992070415,-0.49346778632607313,-0.0006241045168540033,0.2215683438224655
932.8525838851929,2011,1000.0,0.0033007455,50.79%,516096,0.12622511489898897,0.08967953958235739,-0.49734620107337835,-0.002655062434317768,0.21324959204702862
947.4425277709961,2019,1000.0,0.0032501037,51.61%,524288,0.12807526279357262,0.08501148185696365,-0.49202776260208336,-0.001319917818920898,0.21176682683161538
960.9326076507568,2027,1000.0,0.0028697168,52.43%,532480,0.12382188155315817,0.08768600282819534,-0.4755971490172669,-0.001203364226368625,0.21030452015498485
976.0150787830353,2035,1000.0,0.0028325175,53.25%,540672,0.12056168019771576,0.08504435516047124,-0.47174988510087135,-0.0009693983238653094,0.2046366370343217
991.0272223949432,2043,1000.0,0.0030883257,54.07%,548864,0.11916814481373876,0.08615591086663699,-0.4666035534348339,-0.0002891927870884741,0.20503486289328726
1006.4306843280792,2052,1000.0,0.002642406,54.89%,557056,0.12273408237088006,0.083602211080688,-0.45884887408465147,0.00040843905533224196,0.2067447325069003
