num_episodes,ep_rew_mean,total_time,total timesteps,mean_int_reward,intrinsic_loss,total_loss,entropy_loss,value_loss,policy_gradient_loss
292,150.62726795999998,606.5368876457214,294912,8.3880944e-15,6.07632580589268e-06,0.3677103680169159,-1.1931314601562917,0.36898119443794714,-0.0012738645839341408
300,156.09841126,623.4713406562805,303104,7.838961e-15,4.863264340215779e-06,0.4889656349112073,-1.173783141374588,0.4902704401873052,-0.0013072369082680426
308,160.65975068,640.9411594867706,311296,6.0585226e-15,7.422226235664908e-06,0.4823990305533199,-1.1657701412215828,0.48266869353974473,-0.0002733740995426783
316,164.65336198,657.6712236404419,319488,3.269387e-15,4.123379851606046e-06,0.5418320424164798,-1.169849213771522,0.5418878934025997,-5.791267604568589e-05
324,171.03118320000002,674.7851912975311,327680,1.4466486e-15,5.537554534251754e-06,0.7293338307628711,-1.1574054406955838,0.7294410945934942,-0.00011003260789026384
332,174.56424547999998,692.0768322944641,335872,8.4370104e-16,3.8947385394561e-06,0.6520925548678058,-1.1419574037194251,0.6525184877711581,-0.0004278802726219369
344,180.85073294000003,709.4645626544952,344064,6.4029433e-16,3.2363328607898366e-06,0.6986410938260336,-1.1290773887187242,0.6991422954539303,-0.0005028197943271881
352,185.32054949999997,726.4358534812927,352256,4.4522805e-16,4.318299999939157e-06,1.000300267043603,-1.1367812363430858,1.001130685492535,-0.0008325775989322593
360,188.80530176,743.7706160545349,360448,3.7978464e-16,2.4604100729130883e-06,0.7299871353925715,-1.1343026590533554,0.731417964946013,-0.0014320597584778255
368,192.03410232000002,760.821939945221,368640,3.358415e-16,3.8993523593933155e-06,0.7530014963251702,-1.1076508856378495,0.7540668930014363,-0.0010673463524456612
376,193.37848891999994,778.0940737724304,376832,3.550182e-16,2.1196195231665273e-06,0.7586096089108062,-1.1020420752465725,0.759476265028934,-0.000867715927889446
384,195.53467492,795.2726392745972,385024,2.6764108e-16,2.980991246936959e-06,0.8113129447277826,-1.0868737256154417,0.8117962579563027,-0.0004848037241435419
392,199.77210752,812.5216267108917,393216,2.2255796e-16,2.2785463261509874e-06,0.8283851624266848,-1.0688749995082616,0.8291324376448757,-0.0007484144913537117
400,202.78707698000002,829.7929606437683,401408,1.8037185e-16,2.578829442689834e-06,0.777498368524333,-1.0661385165527464,0.7770014951616758,0.0004955839479357445
408,204.55075650000003,847.256865978241,409600,2.0125226e-16,2.1596985064875616e-06,0.838260957818153,-1.0753576030023395,0.8383456579351332,-8.577996623349205e-05
416,206.62763864000001,864.3582715988159,417792,1.8454587e-16,2.85591492718007e-06,0.8475948248781879,-1.0734480285085737,0.8481686242332216,-0.0005752273124973664
424,209.86082500000003,881.8115289211273,425984,1.4879146e-16,9.175275741735156e-07,0.8104253250349203,-1.0608437626622618,0.8102575776472805,0.00016728862385267948
432,211.76582319999997,899.0295732021332,434176,1.8477234e-16,2.212142538648987e-06,0.8308033437859524,-1.0485622664913534,0.8314571790760965,-0.0006549413614133964
440,211.7391003,916.7976727485657,442368,1.8728298e-16,2.012729221589904e-06,0.83887162743255,-1.0340171608142554,0.8392382646648912,-0.0003676435969519116
448,211.66723692000002,934.1401495933533,450560,1.330437e-16,2.333308459578909e-06,0.8093367293231666,-1.039111492037773,0.8096325535254436,-0.00029699085650698845
456,212.3576911,951.2859992980957,458752,1.7294584e-16,1.2281423326099272e-06,0.8647125342402017,-1.0534540529362857,0.8654141127015464,-0.0007021925325109895
464,214.55145224000003,968.1074941158295,466944,1.3868058e-16,2.0247348911706097e-06,0.8576133024029955,-1.0504108245484531,0.8579375705419807,-0.0003252805064307817
472,214.3914281,984.9891183376312,475136,1.3693259e-16,1.7079938226638447e-06,0.7931447692359731,-1.0329275065101684,0.7941226785318577,-0.00097876329279598
480,215.26836224000002,1002.4625532627106,483328,2.088288e-16,1.8728314977511928e-06,0.8915257957346363,-1.0125194177031518,0.8918773993238573,-0.000352540004970126
488,215.95139824000006,1019.5131721496582,491520,2.438501e-16,1.0431983831660218e-06,0.8658329107078536,-1.0086042813956737,0.8659385558377835,-0.00010616672912139237
496,218.94346987999998,1037.231734752655,499712,8.315016e-17,1.3990646527961559e-06,0.9454394210005713,-1.0023228606209158,0.945162811051705,0.0002759104165398675
504,222.04395258000005,1054.0322256088257,507904,7.8761054e-17,1.503903547600549e-06,0.921011803682168,-0.996636315761134,0.9213653375481954,-0.0003542858178011489
516,223.15797922000002,1071.3038775920868,516096,9.953719e-17,9.553691454611268e-07,0.8923406248844351,-1.000283745676279,0.8935398683795939,-0.001199721179731509
524,225.46063939999996,1088.5933792591095,524288,1.7821854e-16,1.746365202792699e-06,1.3372117899606248,-0.9899465580005199,1.3380632942571538,-0.0008523774791303802
532,225.96624458,1105.7688355445862,532480,1.1914344e-16,1.0587029491804234e-06,1.003400575621636,-0.9804103010799736,1.0036451526393648,-0.0002451063692034056
540,228.61171498,1122.6259970664978,540672,2.272291e-16,1.3540045166848814e-06,1.02477203898973,-0.9689686168916524,1.0250818575499578,-0.0003104955624862628
548,230.1407095,1140.1804654598236,548864,8.745443e-17,1.4065902661397622e-06,0.9695347321846921,-0.9662971638608724,0.9698255515933851,-0.0002915227038261639
556,230.55779644000003,1157.485958814621,557056,1.7770841e-16,1.2316806647538758e-06,0.9708905562943592,-0.957079497165978,0.9715161507265293,-0.0006262102725025144
564,233.44493540000002,1174.8028404712677,565248,5.77941e-17,1.184608309146018e-06,0.9605868361523411,-0.9415361895225942,0.9611656149310874,-0.0005793710829008773
