total timesteps,total_time,num_episodes,ep_rew_mean,value_loss,total_loss,entropy_loss,policy_gradient_loss
663552,690.0879812240601,12545,6436.068856059999,2.1535707219096367,2.1576036679102844,0.7836609906516969,0.004032946000647804
671744,698.7136993408203,12566,4268.447372760001,2.783360548573546,2.78808887574522,0.7823463293723762,0.004728327171673945
679936,707.1055243015289,12580,4067.62520338,2.3780263937776907,2.37889470494815,0.7752794940024614,0.0008683111704592659
688128,715.6360352039337,12596,4258.413932480001,1.7958395060966723,1.7946564046649822,0.7730965826660394,-0.001183101431689987
696320,723.7850770950317,12607,5175.444474760001,2.1259321344085036,2.126354170198387,0.8025035795755684,0.0004220357898834265
704512,732.3598716259003,12616,6042.716017399999,2.1615315271308644,2.158880818629605,0.8310578344389796,-0.0026507085012598096
712704,741.0164065361023,12627,6838.76689578,1.8232034409360494,1.8244911931042123,0.8578846502117813,0.0012877521681626642
720896,749.3035247325897,12636,6949.17582566,2.093381696741562,2.0989062681642556,0.8721843753941357,0.00552457142269318
729088,757.9497888088226,12644,7846.27363624,1.6913421800476498,1.6945026654497581,0.8822551919147372,0.0031604854021080376
737280,766.6793055534363,12654,7827.218692439999,1.8269860934466124,1.829055731772248,0.8935742367058992,0.002069638325636046
745472,774.7110974788666,12663,7829.4747732,2.1634446963085794,2.1677135073974694,0.9034457758069039,0.004268811088889992
753664,783.1930503845215,12672,7885.1671753400005,1.8247468195593683,1.8296072092573055,0.8894970816560089,0.004860389697937352
761856,791.5726842880249,12681,8389.442465340002,2.008949058817234,2.011543556576869,0.8679201519116759,0.0025944977596353428
770048,801.3460865020752,12694,7692.33653628,1.9828014271828578,1.9875639123832343,0.865260814037174,0.004762485200376679
778240,810.2316670417786,12706,7212.78179836,2.3649177682906157,2.3663551088911987,0.8518838871270418,0.0014373406005829712
786432,819.5186789035797,12716,7325.305775700001,2.1861240172118412,2.18788883684368,0.8587710564956069,0.0017648196318387273
794624,828.0946090221405,12731,6424.0400296,2.3164528683293613,2.3201689795724154,0.8557057272642851,0.0037161112430541808
802816,836.3793823719025,12741,6298.2911007,2.7133132113842295,2.7165433485466544,0.8525491055101156,0.003230137162424962
