mean_int_reward,num_episodes,total timesteps,ep_rew_mean,Progress,total_time,icm_loss,policy_gradient_loss,value_loss,entropy_loss,total_loss
0.0047686923,1964,98304,-16.275842859999997,9.73%,107.75766849517822,0.03059969440801069,0.001359540154541701,0.009685824617918115,0.2752500642091036,0.03170423088525667
0.0049039409,1984,99328,-15.919176279999999,9.83%,109.0782961845398,0.03157280650339089,0.005745551255956063,0.01086307923833374,0.2840135935693979,0.033233669552819874
0.0040271741,2004,100352,-16.7123919,9.93%,110.20959329605103,0.029834347922587767,0.00760496683710707,0.009588297085429076,0.29162075836211443,0.03155367431484138
0.0036448777,2024,101376,-15.538154840000002,10.04%,111.54025292396545,0.031277705944376066,0.0025581610305396747,0.011114301221823553,0.29593769554048777,0.032644952169612385
0.0044969881,2048,102400,-15.613105239999998,10.14%,112.85721015930176,0.026859732228331268,0.001960620689051001,0.012660144762776326,0.29699287842959166,0.028321808773514
0.0039547563,2068,103424,-15.702348339999999,10.24%,114.00208711624146,0.030422552285017446,0.0054803532228858785,0.011697229791025165,0.3020350858569145,0.03214031058640855
0.0040246072,2088,104448,-15.11013502,10.34%,115.18268418312073,0.029943181114504114,-0.0015119592970808892,0.009712355880765244,0.31508386973291636,0.03076322077287255
0.005282735,2108,105472,-15.559775779999997,10.44%,116.2179229259491,0.028911748027894646,0.003951646264132579,0.011243231332628056,0.32090721745043993,0.030431235787570707
0.003301489,2128,106496,-16.403672,10.55%,117.35359621047974,0.02832842862699181,-0.0023167482135392943,0.012361853885522578,0.3226800123229623,0.02933293919419014
0.0033829586,2148,107520,-15.32430868,10.65%,118.54315280914307,0.027324166032485664,0.003244631046195613,0.009784328252862906,0.3193091880530119,0.028627061962391516
0.0034845822,2168,108544,-14.388326999999999,10.75%,119.73127508163452,0.02793646469945088,0.009568646173647877,0.008997665139759192,0.3268735916353762,0.029793095830791587
0.0037316912,2188,109568,-14.90872926,10.85%,120.70455002784729,0.027169151755515486,-0.00164008267281076,0.008252041177911451,0.34096934273838997,0.027830347606025554
0.00326524,2208,110592,-15.801022520000002,10.96%,121.60709738731384,0.025847599346889183,0.0005882191919328935,0.011961970427364577,0.3462675791233778,0.02710261830881893
0.0032243872,2232,111616,-15.67918404,11.06%,122.60636234283447,0.026346965110860765,-0.0014013655252536413,0.010547443525865674,0.35275914520025253,0.027261572910921968
0.0031793756,2252,112640,-14.725015919999999,11.16%,123.82087564468384,0.024933361244620755,0.0007663418226938638,0.010549950289714616,0.36832542112097144,0.026064990455861605
0.0031093202,2272,113664,-15.015230979999998,11.26%,124.82103848457336,0.02401404350530356,0.00241202908902388,0.009475738417677348,0.37363801477476954,0.025202820255973687
0.0031501437,2292,114688,-14.87065586,11.37%,125.97796773910522,0.02532453727326356,0.010403896957722458,0.01018229412875371,0.3744223192334175,0.027383156381911175
0.0028098841,2312,115712,-14.735049920000002,11.47%,127.157297372818,0.027220537042012438,0.004117681680561428,0.010076295387989376,0.3810840053483844,0.02863993474886752
0.0023287565,2332,116736,-14.19288902,11.57%,128.19485211372375,0.023764085373841226,0.0054675242514264834,0.009639299383707112,0.3947140723466873,0.025274767737354584
0.0024006416,2352,117760,-13.419494440000001,11.67%,129.30653429031372,0.023278534587007016,0.0059764646092220685,0.00801712148313527,0.40681036934256554,0.02467789319624275
0.0022147873,2372,118784,-12.88367458,11.78%,130.3063259124756,0.022449785901699215,0.004266234470748659,0.008616579183581052,0.41708165034651756,0.023738067267132186
0.0029225651,2396,119808,-13.710382880000003,11.88%,131.4613676071167,0.023523203606600873,-0.0007941793681614175,0.00962838241684949,0.43382053915411234,0.02440662391146968
0.0027750062,2416,120832,-14.198759860000003,11.98%,132.44864654541016,0.02269017275830265,0.009092262584372884,0.00977413123473525,0.4370395443402231,0.024576812140213466
0.0026137899,2436,121856,-14.18165962,12.08%,133.40236473083496,0.023621823376743123,0.000773779706674911,0.0094614923291374,0.43195906234905124,0.024645350580324354
0.0027331814,2456,122880,-12.993446139999998,12.19%,134.33153986930847,0.022822940401965752,-0.0031494470507648594,0.008757748590142,0.44094383902847767,0.023383770555903467
0.0022430125,2476,123904,-12.464123540000001,12.29%,135.28665924072266,0.021757253096438944,0.005162351921136804,0.0077997018524911255,0.4536804920062423,0.023053458473801736
0.0027428969,2496,124928,-12.7133319,12.39%,136.21973776817322,0.02074147750681732,0.007973606350604316,0.008497521976096323,0.45703538367524743,0.022388590339487383
0.0031149738,2516,125952,-13.366456380000002,12.49%,137.17465162277222,0.021883495181100443,0.0012175101275964557,0.008252286665083375,0.4656886155717075,0.022830474860368426
0.0025034259,2536,126976,-13.825070620000002,12.6%,138.63068175315857,0.02101952684461139,0.007325515122672186,0.009459999466344016,0.46230065636336803,0.02269807830351301
0.0019145305,2560,128000,-13.780675420000001,12.7%,140.07730174064636,0.0204159468121361,-0.0007960120580507458,0.00875329497284838,0.4616177170537412,0.02121167510361586
0.0028806888,2580,129024,-13.202085199999999,12.8%,141.30095601081848,0.02087494800798595,-0.0034322171746528967,0.007108766672899947,0.4661556873470545,0.021242602957810656
0.0027866479,2600,130048,-13.08039538,12.9%,142.36944246292114,0.02015962298901286,0.006428197818394245,0.008664752192999003,0.4660317259840667,0.021668917990152185
0.0023404351,2620,131072,-13.255887599999996,13.0%,143.42029452323914,0.020775793149368837,0.004901647564819393,0.008577751374104992,0.4674828886054456,0.022123733043261276
0.0017509494,2640,132096,-13.04173156,13.11%,144.70791697502136,0.020385306925163604,0.0008324640883106101,0.007031100953099667,0.47584053594619036,0.02117166342930463
0.0020907092,2660,133120,-12.688013859999998,13.21%,145.7770607471466,0.019885297559085302,0.00632175899007841,0.00933340626397694,0.48317971685901284,0.021450814084490837
0.0018508222,2680,134144,-12.901001239999998,13.31%,146.81957530975342,0.02039215696277097,0.006713974887357495,0.008486712600642932,0.4908039718866348,0.02191222571157101
0.0025083942,2700,135168,-13.117285039999999,13.41%,148.1125226020813,0.018749630136881024,0.000574330741237894,0.00768825472187018,0.50490289228037,0.01957588868319183
0.0021233194,2720,136192,-13.252685720000002,13.52%,149.37348222732544,0.018781293721986003,-2.205019686207549e-06,0.008533360956789693,0.513540088199079,0.01963440931569635
0.0017603295,2744,137216,-12.819069279999999,13.62%,150.53096890449524,0.01781027294055093,0.0025691118184848726,0.008937944628996775,0.5178715586662292,0.018960978585299097
0.001929107,2764,138240,-13.01394656,13.72%,151.80639243125916,0.01907793503778521,0.002566268436632451,0.009844695960055105,0.5255919797345996,0.020319031477453967
0.0013502206,2784,139264,-12.191995140000001,13.82%,152.92827582359314,0.01769024328677915,0.00025567325991674794,0.009826596524362685,0.5390306673943996,0.018698470265207094
0.0016268294,2804,140288,-11.49055004,13.93%,154.1580684185028,0.017445040590246208,0.0031481350027262895,0.0069323901407187805,0.5462807398289442,0.018453093104590715
0.0016737618,2824,141312,-11.14001968,14.03%,155.2370069026947,0.0169421017926652,0.005930340498340879,0.008185430418961914,0.5480223726481199,0.01835367888439548
0.0014043624,2844,142336,-11.35696694,14.13%,156.28852152824402,0.01795553619740531,0.0032279199717832573,0.007726182340775267,0.5425119716674089,0.01905094642866116
0.001152526,2864,143360,-10.992630479999997,14.23%,157.2930941581726,0.017585352121386677,0.005715747680320205,0.009366160604258766,0.5405540084466338,0.019093542949844576
0.0015388816,2884,144384,-11.170460799999999,14.34%,158.36379551887512,0.01772005694510881,0.004939675503489146,0.006063555876608007,0.5438798516988754,0.018820380083118524
0.0014523285,2908,145408,-11.691386879999998,14.44%,159.99416136741638,0.01855248853098601,0.005433186072472907,0.008217179718485568,0.5556807946413755,0.01991752511008186
0.0012797964,2928,146432,-11.87230718,14.54%,161.35477662086487,0.017935406183823943,0.0008656105475256523,0.008132102517265594,0.5662854257971048,0.018835177490303067
0.0016355602,2948,147456,-12.359743559999997,14.64%,162.6046802997589,0.017103499427321367,0.008817104430148423,0.007234326016259729,0.5788674261420965,0.018708642471962182
0.0014363691,2968,148480,-12.407036799999998,14.75%,163.7553927898407,0.01648985173960682,0.0015160014586297298,0.008957346279203193,0.5840036142617464,0.017537186513390115
0.0016705383,2988,149504,-11.795631100000001,14.85%,164.67908263206482,0.01660239149350673,0.005312912210637008,0.007652223084733123,0.5962368864566088,0.017898905023043744
0.0014974247,3008,150528,-11.16850158,14.95%,165.71330285072327,0.016097695101052523,0.007775009710734941,0.006886624791150098,0.6070144902914762,0.017563858551241027
0.0013604405,3028,151552,-10.871306440000001,15.05%,167.150954246521,0.015056978983920999,0.005085163707314379,0.005498646194610046,0.6123334802687168,0.016115359974113442
0.0021764633,3048,152576,-11.46046562,15.16%,168.50550079345703,0.01515192977967672,0.005206125875137515,0.006217337378984666,0.6190026244148612,0.016294276105088937
0.0011912647,3072,153600,-11.45572612,15.26%,169.52248859405518,0.01520221057580784,0.0075691144346824515,0.007730833567620721,0.6199100269004703,0.01673220537603816
0.0013473293,3092,154624,-10.90694006,15.36%,170.5508542060852,0.015494329243665561,-0.0011070475793537597,0.005205338673476945,0.6149559887126088,0.01590415835307788
0.0013608492,3112,155648,-10.702461940000001,15.46%,171.51028561592102,0.015007775204139762,-0.0008219239902411354,0.006212949063410633,0.6262056920677423,0.01554687771145671
0.0016848792,3132,156672,-10.838283919999999,15.56%,172.47871375083923,0.014653646780061536,0.010082251103397813,0.00548800258547999,0.6353835947811604,0.016210672148949314
0.0017166296,3152,157696,-10.69936788,15.67%,173.48287296295166,0.014407773589482531,0.0030935545568860994,0.005626167685477412,0.6424033977091312,0.015279745813718883
0.0016489401,3172,158720,-11.13518618,15.77%,174.55318593978882,0.014638679655035958,-0.00248718506313654,0.006420623778467416,0.6486200392246246,0.015032023526569044
0.0018472875,3192,159744,-11.59235442,15.87%,175.5574288368225,0.01441403420176357,-0.001226802647549145,0.006346138956359937,0.6617608545348048,0.01492596783264465
0.0012999178,3212,160768,-11.090249439999997,15.97%,176.53594088554382,0.013892306626075879,0.006548393146880865,0.006208554135810118,0.66768036223948,0.015168001354344977
0.0015423965,3232,161792,-10.58005288,16.08%,177.49988651275635,0.013332186194020323,0.002079401316690677,0.006324206304270774,0.6622158354148269,0.014172546956116468
0.0020347168,3256,162816,-11.219335939999999,16.18%,178.51384854316711,0.013510108794434927,0.005729482858134374,0.006437282274418976,0.6747928103432059,0.014726785307690265
0.001541348,3276,163840,-12.371456460000001,16.28%,179.55256938934326,0.013673712877789512,0.00510202079128492,0.010023053811892169,0.6874961890280247,0.015186220338107223
0.0015792634,3296,164864,-12.578538920000002,16.38%,180.5278012752533,0.013205061171902344,0.0036582032261151323,0.008537444529792992,0.6959761455655098,0.014424625947493157
0.0015550299,3316,165888,-12.03172916,16.49%,181.49167346954346,0.013891020993469283,0.004586871286699346,0.008070483996561961,0.69372234120965,0.015156756521795415
0.0014047489,3336,166912,-11.2822077,16.59%,182.47016525268555,0.012734652729704976,0.004586065614489116,0.007551246075308882,0.6968736499547958,0.013948383898684776
0.0010605952,3356,167936,-10.772258080000004,16.69%,183.43969750404358,0.012632700134417973,0.001721493054019598,0.007673791937122587,0.7007723078131676,0.01357222863353219
0.0010081662,3376,168960,-10.214310240000001,16.79%,184.3991506099701,0.012650656644837,0.006284532008001187,0.00548917896594503,0.7085794983431697,0.013828027742231621
0.0012447347,3396,169984,-10.238423220000001,16.9%,185.43362975120544,0.011777110819821246,0.0016012196257067569,0.006120117761383881,0.7105596316978335,0.01254924455853031
0.0010392173,3420,171008,-10.28684444,17.0%,186.44327116012573,0.01189349201740697,0.0009178656284131166,0.007052903161820723,0.7093630824238062,0.012690568896430355
0.0010253198,3440,172032,-10.04031334,17.1%,187.39548754692078,0.012637886407901533,0.001953780090891004,0.008327466741320677,0.7039289129897952,0.013666011091122702
0.0010854787,3460,173056,-10.39638674,17.2%,188.38838481903076,0.012543358112452552,0.0015750751348085098,0.006811254141211975,0.703950135037303,0.013381991040054601
0.0013898978,3480,174080,-10.924653059999999,17.31%,189.41385746002197,0.012176838659797795,0.001765239121042381,0.007276198470208328,0.7098399056121707,0.013080982418922867
0.0009840272,3500,175104,-10.809200520000001,17.41%,190.36189198493958,0.012119751932914369,0.0016770493366465443,0.008772961493377807,0.7090679397806525,0.013164753015916806
0.0011938434,3520,176128,-10.301493540000001,17.51%,191.39616298675537,0.01217050597188063,0.0039512453838141505,0.006848593355243793,0.7116362815722823,0.013250489845786424
