total timesteps,mean_int_reward,total_time,Progress,num_episodes,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss,icm_loss
96256,0.0036480821,94.43987154960632,9.52%,1924,-13.852839719999999,0.032958652407600625,0.00913337560268701,-0.0018803888598600276,0.2665539104491472,0.032233353733317927
97280,0.0029356043,95.62992906570435,9.63%,1944,-13.67281796,0.029928661552756988,0.008615151451522252,0.0017035766125338616,0.27715901378542185,0.028896788746351376
98304,0.0033486276,96.71979784965515,9.73%,1964,-13.43065652,0.03129710567561249,0.008212639342673356,0.006535873043232471,0.27853019908070564,0.02982225443702191
99328,0.0031164504,97.6999397277832,9.83%,1984,-13.14781172,0.030253044009859446,0.0083694001477852,0.001947891746199515,0.2943863580003381,0.029221314820460975
100352,0.0027279161,98.71970820426941,9.93%,2004,-12.9276619,0.0291747899781528,0.008268917572422652,0.00023458914167095605,0.31269668135792017,0.028324439306743443
101376,0.002755998,99.7097532749176,10.04%,2024,-12.659715100000001,0.0292376210239344,0.006793873013521079,0.0016797322198173026,0.3150819195434451,0.02839026050060056
102400,0.0027322074,100.76981115341187,10.14%,2048,-12.86848328,0.029539133745919984,0.009731827576615615,0.005282457041807484,0.318457655608654,0.028037705284077674
103424,0.0027273735,101.80976724624634,10.24%,2068,-12.946839379999998,0.02887146750585878,0.007103580646798946,0.0011459908423483126,0.3327707890421152,0.028046510356944054
104448,0.0021131874,102.87985849380493,10.34%,2088,-12.51542222,0.02933644059012916,0.006836478811237612,0.0024099540297068045,0.34365380089730024,0.028411797306034714
105472,0.0025664062,103.91980147361755,10.44%,2108,-12.07428898,0.028575678136916104,0.005776658557806513,0.011340384023457575,0.3528914973139763,0.026863973878789693
106496,0.0026395813,104.9597589969635,10.55%,2128,-12.00867022,0.02601270855461641,0.005645264202030376,0.006396818521797908,0.3663862384855747,0.02480850028223358
107520,0.0030043109,105.93972730636597,10.65%,2148,-11.89236598,0.027485902590821534,0.00577313802568824,0.00043629191829276106,0.374880594201386,0.026864959596423432
108544,0.0034249473,106.96988868713379,10.75%,2168,-11.884168240000001,0.025340363692704954,0.005372697361963219,0.006144220551522059,0.382293539121747,0.02418867190135643
109568,0.0029174876,107.91966533660889,10.85%,2188,-11.59653908,0.02597257466862711,0.005948173789875,0.00010021637386577165,0.3838623398914933,0.02536773565225303
110592,0.0017956033,108.89981889724731,10.96%,2208,-11.370822079999998,0.02376797857452931,0.006528289419293287,-0.002068553960036165,0.38584056589752436,0.0233220050286036
111616,0.0029373705,109.8798418045044,11.06%,2232,-11.54368802,0.023663053652881016,0.006202200573170558,0.00199397373971832,0.39023791439831257,0.02284343622159213
112640,0.0021593219,110.8997712135315,11.16%,2252,-11.786908540000002,0.02454239706934179,0.006157847472422873,0.0015976540220155734,0.3951801317743957,0.023766846919897944
113664,0.0025092882,111.9296600818634,11.26%,2272,-11.601162040000002,0.02410191592749957,0.006473638610259513,0.00042131331943306223,0.40553780971094966,0.023412420734530315
