ep_rew_mean,mean_int_reward,total timesteps,num_episodes,total_time,total_loss,entropy_loss,value_loss,policy_gradient_loss,intrinsic_loss
-17.68857384,3.4645548e-13,206848,4136,253.42302441596985,0.03141756338167989,0.3364169695414603,0.031583860123646446,-0.00017155094708377005,1.0508410234422172e-05
-17.19793164,2.4218702e-13,207872,4156,254.6358664035797,0.025083660047328017,0.34215667750686407,0.027643930254271254,-0.002563525674014264,6.5109341420566125e-06
-16.71818264,6.4822876e-13,208896,4176,255.83530020713806,0.0392770612721101,0.34706031810492277,0.0416403203853406,-0.0023697210928183663,1.2923959175736854e-05
-17.05594506,3.1983414e-13,209920,4196,256.95518684387207,0.022123369816879436,0.3530306573957205,0.02693618633202277,-0.004831755492278342,3.7877954270015834e-05
-16.88056178,3.4372751e-13,210944,4216,258.35112738609314,0.022239955604234363,0.35604466684162617,0.027303727489197627,-0.005075720945058423,2.3898120190324335e-05
-17.30010164,6.1370754e-13,211968,4236,259.77222895622253,0.017668543929496433,0.3544163443148136,0.02273465572943678,-0.005077865294327884,2.3506988775068294e-05
-16.719905219999998,4.645684e-13,212992,4256,261.1988594532013,0.033794476981083676,0.36484198784455657,0.02862215337518137,0.005156892685027007,3.08618417506068e-05
-15.49953708,3.2990494e-13,214016,4280,262.521559715271,0.019797487899669574,0.37896008929237723,0.023248600147780962,-0.0034608106361063043,1.9396775989832804e-05
-15.67066674,6.9864036e-13,215040,4300,263.95278763771057,0.03400074951923258,0.38740061270073056,0.02380260307836579,0.01018414367351226,2.8005534709052426e-05
-17.00027066,5.9312147e-13,216064,4320,265.3028335571289,0.022616276604097922,0.39124317886307836,0.02473007720982423,-0.0021325545467895187,3.7507882126419645e-05
-17.821527259999996,3.7836054e-13,217088,4340,266.65233063697815,0.02270776842087531,0.38977647572755814,0.023555966530693695,-0.0009036245541663597,0.00011085288869594478
-16.88589766,5.273651e-13,218112,4360,268.0117564201355,0.02934390825043587,0.39540004963055253,0.028087516242521815,0.001203245098647666,0.00010629381853277664
-16.5505108,3.1025036e-13,219136,4380,269.3804597854614,0.026192488388964263,0.4047482665628195,0.024226787892985158,0.0019083238370208883,0.00011475331791643839
-16.005951340000003,3.9224467e-13,220160,4400,270.5764796733856,0.021023773847218125,0.4056255230680108,0.021099382713146042,-8.306757824236028e-05,1.4917424628890785e-05
-15.55529294,1.609171e-13,221184,4420,271.8335065841675,0.017922262659861705,0.3974100244231522,0.022289820801233873,-0.004373320861099353,1.1525439454374009e-05
-15.79324088,3.900039e-13,222208,4444,272.9024147987366,0.025007101263568626,0.3931120904162526,0.02403492943267338,0.0009687855556261664,6.772550538158839e-06
-16.96643672,4.3364205e-13,223232,4464,274.021363735199,0.022385320817547023,0.40286102518439293,0.026584559709590394,-0.004202959862448057,7.441940809371772e-06
-16.036461420000002,4.041239e-13,224256,4484,275.12533926963806,0.026773906197534836,0.408336556982249,0.027261274808552116,-0.0004905476615973928,6.3581011602309445e-06
-16.34657784,3.5752678e-13,225280,4504,276.2096779346466,0.022124820383528622,0.409763693343848,0.023318764309806284,-0.0011954580986162848,3.028344677247219e-06
-16.91312124,4.5878335e-13,226304,4524,277.3149995803833,0.02980103582850059,0.4178954465314746,0.026555849733995274,0.003239342386854206,1.1687415302219506e-05
-17.064393619999997,2.1967851e-13,227328,4544,278.47766613960266,0.027929330731785704,0.42322820192202926,0.026444887291290797,0.0014777207216866016,1.3445437616610434e-05
-16.21088386,4.554962e-13,228352,4564,279.94337153434753,0.026797182071499986,0.4220841354690492,0.02267255261540413,0.0041181016840165325,1.3055544158646626e-05
-16.110593419999997,4.4149368e-13,229376,4584,281.42738938331604,0.011437530278030055,0.41921755159273744,0.023800917791959364,-0.012368425842838943,1.007665781926903e-05
-16.51312942,2.3035702e-13,230400,4608,282.7569091320038,0.020115907736252898,0.4304504990577698,0.023706172287347727,-0.003620523041108863,6.0516980028069156e-05
-16.12507046,4.763528e-13,231424,4628,284.20352578163147,0.025629988184117256,0.43700936576351523,0.021096289361594245,0.004512154111597488,4.308942185105025e-05
-16.36358006,2.3726873e-13,232448,4648,285.5155813694,0.014714021960428167,0.4373635556548834,0.021165300742723048,-0.006458837929096722,1.5118293603677557e-05
-17.128051600000003,6.543596e-13,233472,4668,286.59823417663574,0.011018077340520769,0.44154874654486775,0.020623041644284967,-0.009610857173437317,1.1785739346237278e-05
-16.944435839999997,2.3497483e-13,234496,4688,287.6828441619873,0.020374946895301373,0.4475818066857755,0.024639908588142134,-0.004280184506549009,3.04456274164977e-05
-16.5574005,2.2843159e-13,235520,4708,288.8514904975891,0.02749219783286455,0.4417212842963636,0.02447473410575185,0.002983826434843795,6.72745845378131e-05
-15.823320720000002,5.7778153e-13,236544,4728,289.943261384964,0.024445857643453098,0.44897549133747816,0.021740135161962826,0.002691600265610007,2.8244431760526822e-05
-15.866542020000002,2.555767e-13,237568,4748,291.09161376953125,0.022421743022698695,0.45942273177206516,0.025471622953773476,-0.003060327576483144,2.089529081672481e-05
-15.774780680000001,3.372877e-13,238592,4768,292.10203671455383,0.02243795148244107,0.46522482903674245,0.02053330001217546,0.0018955719755983898,1.8158989334438047e-05
-15.977481919999997,4.926688e-13,239616,4792,293.22837018966675,0.021685863728310557,0.47332358034327626,0.025742630125023425,-0.004073728234506742,3.3923675587743674e-05
-15.49081746,3.060998e-13,240640,4812,294.349493265152,0.025142129466218643,0.4793775989674032,0.025653485936345533,-0.0005459833620797706,6.925378390576498e-05
-15.518222060000001,3.6001248e-13,241664,4832,295.7771873474121,0.016461844421449944,0.49544665962457657,0.019600070780143142,-0.0031500163081685678,2.3579898950742972e-05
-15.56829782,4.400731e-13,242688,4852,297.25451397895813,0.019425080156514483,0.5021362863481045,0.019352317598531954,6.192886778514186e-05,2.1667380394774227e-05
-15.696708840000001,4.880031e-13,243712,4872,298.6105148792267,0.03883632729861301,0.5064732721075416,0.02578168682521209,0.01304288330143248,2.3514343936881232e-05
-15.01026906,4.9402713e-13,244736,4892,299.99095916748047,0.017637406485405016,0.5159911466762424,0.02004635717457859,-0.00241272768117451,7.553984001873459e-06
-15.750776099999998,5.4632774e-13,245760,4912,301.26535296440125,0.02540067109655841,0.518170865252614,0.022198780701728538,0.003198543115464189,6.694558731368261e-06
-15.90762492,9.457092e-13,246784,4932,302.3294816017151,0.02698053424870745,0.5119429100304842,0.022315495036309585,0.004660852809539716,8.37280571630572e-06
-15.814918059999998,3.906658e-13,247808,4956,303.4721248149872,0.019813706590018396,0.5078126480802894,0.02533806930296123,-0.005529389453307235,1.0053480728799968e-05
-15.962719400000001,3.1882981e-13,248832,4976,304.5083899497986,0.016104663950358526,0.50815583858639,0.02339226049662102,-0.007295019511727902,1.4845930930817985e-05
-16.21866712,3.2427213e-13,249856,4996,305.6350157260895,0.021538449229514763,0.5102543625980616,0.02128103510767687,0.00025299847783989097,8.831287996002857e-06
