num_episodes,mean_int_reward,total_time,Progress,total timesteps,ep_rew_mean,entropy_loss,icm_loss,policy_gradient_loss,value_loss,total_loss
892,0.0016369085,1881.0362238883972,88.47%,892928,47.15809847999999,0.20015674880705775,0.03551417619746644,-0.0034844120011631695,0.010447608022496979,0.04247737221880025
900,0.0003923234,1897.6003067493439,89.29%,901120,47.396179679999996,0.21363944145850838,0.03529352088517044,0.0028570632394007674,0.012734123246875128,0.05088470737144633
908,0.000442242,1912.866225719452,90.11%,909312,48.03206278,0.22590300599113106,0.033530099091876764,0.0017843395377517685,0.010620081404979942,0.045934520034608475
916,0.0003129404,1930.312139749527,90.93%,917504,48.143604339999996,0.22448704428970814,0.03346486378868576,0.0017621327463544923,0.012105237738467167,0.047332234273507426
924,0.0018801251,1948.094157218933,91.75%,925696,47.71743344000001,0.22427610685117544,0.03261876756587299,0.0008044955386395413,0.010085202376443192,0.043508465480955716
932,0.0004145393,1964.9771218299866,92.57%,933888,47.44685456,0.236186218354851,0.03344432945887092,-0.01380380735785593,0.012164572330320311,0.031805094431335314
940,0.0003279933,1982.115153312683,93.39%,942080,47.79467053999999,0.2544193102046847,0.03135301190486643,0.0009741098868840036,0.010487204599269263,0.0428143263910197
948,0.0004850361,2001.0220847129822,94.21%,950272,48.42652618,0.25711165759712457,0.03159308369504288,0.001073188146631257,0.009497951238333257,0.0421642230800074
956,0.0004546082,2019.414402961731,95.03%,958464,48.78634142000001,0.2601295611821115,0.03118560260772938,0.0029429495342332083,0.012659750339685161,0.046788302481647746
964,0.0005542162,2037.3703079223633,95.85%,966656,49.438454779999994,0.2676985699683428,0.030750172553234735,0.002174195562227837,0.012150367388409222,0.045074735503871796
972,0.0005535873,2054.4035856723785,96.67%,974848,50.136451720000004,0.2770680281333625,0.031881913187680765,0.0023373456365780995,0.012775454685646536,0.0469947135099054
980,0.0008221234,2071.8835232257843,97.48%,983040,52.54480143999999,0.29203007998876274,0.029739490915380883,9.168353301071739e-05,0.012611699188425973,0.04244287363681757
988,0.0009314691,2089.6727437973022,98.3%,991232,56.708631739999994,0.2967713352292776,0.02957267389720073,0.0008862319374309783,0.014177054525930544,0.04463596036056225
996,0.0008708958,2106.9286918640137,99.12%,999424,59.82563017999999,0.3010946627240628,0.028513974443194458,0.0024848097203299113,0.011674494256067192,0.04267327841959155
1004,0.0009973337,2124.2759761810303,99.94%,1007616,63.14437172,0.31661915211006997,0.028866010214551353,0.001848893657687083,0.011321080749530666,0.04203598462176909
