total_time,Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,entropy_loss,total_loss,icm_loss,policy_gradient_loss,value_loss
1245.4560606479645,59.8%,606208,0.0014009201,604,108.97947696,-0.009185312129557133,0.08295161343731901,0.04926555095153162,0.001044521559071766,0.032641540926715604
1262.6526956558228,60.62%,614400,0.0013193591,612,109.12506092,-0.02560544153675437,0.08267106516583297,0.050195126386824995,0.0005058990155346512,0.031970039763473325
1279.1640222072601,61.44%,622592,0.0012434187,620,109.02699371999998,-0.032488337997347114,0.08507994871810329,0.05224316752573941,0.00032013359385960375,0.03251664759850428
1295.9199426174164,62.26%,630784,0.0013585407,628,108.95552753999999,-0.015526751382276415,0.08632557201111983,0.051499570027226584,0.0015451165764631405,0.03328088540743011
1312.5493943691254,63.08%,638976,0.0013050489,636,109.16088198000001,-0.013032852578908205,0.08414813214178886,0.049750331349787305,0.0010406227719415334,0.03335717802006002
1328.8898830413818,63.9%,647168,0.0013309043,644,109.64914636000002,-0.011193736642599105,0.08646261648542829,0.049635803091223354,0.002069169810615923,0.034757643583589015
1345.5455601215363,64.72%,655360,0.0013169774,652,109.984418,0.008804249204695224,0.08192906627652248,0.04980598198599182,0.00038382228769207787,0.03173926200283859
1362.0169115066528,65.54%,663552,0.0012042194,660,110.04139276,0.013428541878238321,0.08408599126614943,0.04660727889277041,0.0017772315357001283,0.0357014808376789
1378.3669788837433,66.36%,671744,0.0012711011,668,110.59854510000002,0.01786643350496888,0.08398597875405701,0.04768568805156974,0.0011066296881461052,0.03519366101434116
1394.341079711914,67.17%,679936,0.0012819343,676,111.62059399999998,0.02497584344819188,0.07974166731457899,0.046166750293923545,0.0010006733586806183,0.03257424366197483
1410.9849426746368,67.99%,688128,0.0013638197,688,112.52545208,0.04074429706670344,0.08383001976705184,0.04629467923077755,0.00178616718627875,0.03574917334999554
1442.3088865280151,68.81%,696320,0.0011632437,696,113.02349466,0.06405815593898297,0.09444512360967033,0.044063063699286434,0.0012319072162646594,0.049150152694119244
1458.4205060005188,69.63%,704512,0.0013181328,704,113.50169890000001,0.07497235117480158,0.07746034477838969,0.04223944346449571,0.0009469292838525132,0.034273972030041476
