total timesteps,ep_rew_mean,Progress,total_time,num_episodes,mean_int_reward,policy_gradient_loss,value_loss,icm_loss,entropy_loss,total_loss
720896,1744.40887574,71.27%,1445.5945825576782,7882,0.0048245306,6.887224705774842e-05,0.01540768724098598,0.15906448980094864,-0.2986792469630018,0.16061214574975305
729088,1642.044649,72.09%,1462.7010157108307,7901,0.0051955249,0.003693292860740594,0.023484403395013943,0.15754000503220594,-0.2861666088923812,0.1602577746577814
737280,1660.19579734,72.91%,1480.3929243087769,7917,0.0048603494,0.001690859546485361,0.01019919041459616,0.1517286985355895,-0.2883031367789954,0.15291770353169765
745472,1430.96932838,73.73%,1498.3017928600311,7938,0.0048034477,0.0027239338968836854,0.009826174027148226,0.1542882638401352,-0.2892861976986751,0.1555432746325384
753664,1359.37840866,74.55%,1515.8881051540375,7955,0.004556817,0.0012453870845594171,0.01766689732530722,0.16163784976815804,-0.27226867782883346,0.1635290782091447
761856,1269.1050771399998,75.37%,1533.4214057922363,7980,0.0047859675,0.004114135099781052,0.010345014840186195,0.15086331628262997,-0.2674458430148661,0.15230923127662668
770048,1044.25235082,76.19%,1550.9757993221283,8007,0.0052703737,0.0002986294272504865,0.019900876600422633,0.15792528132442385,-0.2744115756824613,0.15994523192719115
778240,950.4645325399999,77.0%,1568.9851236343384,8034,0.0053061428,0.0012165547114558251,0.008492307149845146,0.15862257882836275,-0.2758566829143092,0.15959346501449284
786432,974.6999567600001,77.82%,1586.7708745002747,8062,0.0049122229,0.00309282399420936,0.007254109971518119,0.15862941871164365,-0.26944269398227333,0.1596641121082164
794624,993.8319009400001,78.64%,1604.0089592933655,8090,0.0053871354,0.001507754678313059,0.008890092287674633,0.1551549588679336,-0.2674750427948311,0.1561947435645324
802816,957.8798485599999,79.46%,1621.7210400104523,8120,0.0054221802,0.003389315844872621,0.00976023159964825,0.15154257193789816,-0.2652824538992718,0.15285752668235025
811008,921.7258577800001,80.28%,1639.376342535019,8148,0.0056539921,0.0017323375404767669,0.011396626521400322,0.15082802682882174,-0.2579679291229695,0.15214092323500944
819200,942.35121578,81.1%,1656.8874642848969,8177,0.0057554985,0.0004893061377019834,0.010551593684249383,0.14697073735878802,-0.2569914733758196,0.14807482734098315
827392,424.8187546,81.92%,1674.6013722419739,8236,0.0107985721,0.0057664047333735174,0.014375459938855783,0.15592204593704082,-0.25147685726406055,0.15793623240426374
835584,371.9115096,82.74%,1692.2894711494446,8299,0.0093524842,0.00682814771378539,0.026467056512046838,0.15472740965196863,-0.24143298312556,0.15805693007455185
843776,396.21441832000005,83.56%,1709.7783551216125,8360,0.0084989889,0.0013728312048308933,0.017205405072945722,0.15497759722056798,-0.23838213825365528,0.15683542084834565
851968,394.39898348,84.38%,1727.3706421852112,8423,0.0077116417,0.00043576241001967936,0.015507813593831087,0.15478254620102233,-0.23173754177987577,0.15637690380140742
860160,460.81244710000004,85.2%,1744.92707157135,8478,0.0053091027,-0.0004561347327272364,0.013915715881194047,0.15592006423394195,-0.21567180363927035,0.15726602234878864
868352,484.72034514000006,86.02%,1762.7656846046448,8533,0.0056436916,0.0009483121018445961,0.011127007068262173,0.15761045842082239,-0.19786214060150087,0.1588179903378331
876544,486.86569061999995,86.84%,1780.2620520591736,8585,0.0050830838,0.0004271538579887455,0.011316626229472604,0.1459255083464086,-0.18781953788129613,0.14709988635515475
