total timesteps,ep_rew_mean,Progress,num_episodes,total_time,mean_int_reward,total_loss,entropy_loss,policy_gradient_loss,value_loss,icm_loss
475136,879.34158146,46.69%,5183,917.4525787830353,0.0117154776,0.23642918706390076,-0.7281924350187182,-0.0005098526494663003,0.04579946458070481,0.2319002258707769
483328,776.2512822400001,47.51%,5210,933.091569185257,0.0103247142,0.23301521374992698,-0.7113104547839612,6.477878300533555e-05,0.09931119915781891,0.22307761595584452
491520,751.2424975600001,48.33%,5240,949.6775984764099,0.0105530237,0.22513386179412573,-0.6853065579663962,-0.00020738260103649823,0.0539202300758916,0.2197625770466402
499712,757.7752878200001,49.15%,5268,966.8808908462524,0.0097562596,0.21459219899255438,-0.6774096494540572,0.0005442333532733963,0.12063938834326109,0.20247383682290093
507904,884.4907293800002,49.97%,5289,983.3538689613342,0.0094469465,0.21155543404651608,-0.6734637649729848,0.0004412706565118157,0.06719807655790647,0.20479149932507426
516096,969.6078998600001,50.79%,5313,1000.3686728477478,0.0082513272,0.20923315974301282,-0.672758363140747,-0.0006425192758263741,0.03473051011715143,0.20582436065888032
524288,986.69705646,51.61%,5336,1016.8926208019257,0.0082396816,0.20226327732384825,-0.6657201302237808,0.0002895888977297238,0.02228110296000523,0.20000620813807474
532480,982.56281118,52.43%,5360,1033.5010085105896,0.0084643589,0.20133698679094908,-0.6503985778428614,-0.0006536496891252075,0.019755234234253294,0.1994268283364363
540672,939.74185962,53.25%,5382,1051.1888103485107,0.00776224,0.1985855829027196,-0.6277164187282324,5.5982578988165565e-05,0.05046855446344125,0.19353312919847668
548864,1024.8375230200002,54.07%,5402,1069.2768437862396,0.0074166221,0.18827958506007064,-0.6179576620459557,-0.0002963510561302533,0.03405311318783788,0.18490390884689986
557056,1057.00729202,54.89%,5424,1086.6649296283722,0.0071994166,0.1884683869564132,-0.6066783046815545,0.001429666862558553,0.02541231169780076,0.18578418910037725
565248,995.0277988200002,55.71%,5447,1104.2849743366241,0.0072716866,0.18205685209797914,-0.5973111381288618,0.0001409089982512155,0.03659583009921334,0.1783831781882327
573440,1062.3872432800001,56.52%,5468,1121.134307384491,0.0068377123,0.17590587891209047,-0.5805902785155922,0.0003388304256124439,0.03480623218201799,0.1723913726513274
581632,1120.68541656,57.34%,5489,1137.5504400730133,0.0072138607,0.16987793342652727,-0.5728973023593426,0.0006521364239591629,0.015047931619119482,0.16830792662221938
589824,1103.97243404,58.16%,5511,1154.460391998291,0.0070858788,0.1746356619833557,-0.5737674359697849,0.0005780829394892771,0.02457014844258083,0.17212083884514867
