num_episodes,ep_rew_mean,total timesteps,total_time,total_loss,entropy_loss,policy_gradient_loss,value_loss
4039,223.48224812,311296,374.7977087497711,0.02407648545731159,-0.990278264740482,-0.0006922144847122945,0.024768699942023888
4124,222.43744905999995,319488,384.28602623939514,0.02314810924290876,-1.0005646255798637,-0.0009985359712052,0.02414664521411396
4211,221.39271215999997,327680,394.21388149261475,0.02665528864496396,-1.0145661592483521,-2.4357984113114395e-05,0.02667964662907707
4295,223.02013980000004,335872,403.8456406593323,0.031244527911700036,-1.0217200553976,-0.00040875798673735214,0.03165328589843739
4380,226.40454488,344064,413.71002221107483,0.03593526375234986,-1.0117366477847098,-0.0006964206976535207,0.03663168445000338
4464,230.55267353999997,352256,423.90454936027527,0.03087942003249928,-1.0066033442504705,-0.0004179697601447498,0.03129738979264403
4547,231.14090326000002,360448,433.9306924343109,0.03642889366458402,-1.0116000643000007,-0.0016645777099933313,0.038093471374577345
4629,236.47257048,368640,443.87456250190735,0.03410846425538487,-1.0058309180662035,-0.0011346318861999622,0.03524309614158483
4709,243.87533716,376832,453.7041094303131,0.035810631263630384,-0.9898917138110847,-0.000582594860761347,0.036393226124391734
4789,250.34227140000002,385024,463.30365777015686,0.03709016318020275,-0.9785944498609751,-0.001054668757440423,0.038144831937643175
4867,257.94974586000006,393216,473.1974287033081,0.03654281477567957,-0.9784474172629416,-0.0006885049383306066,0.03723131971401017
4944,261.47624696,401408,483.6364221572876,0.04375915441933711,-0.9795869976747781,-0.0019934503390625757,0.045752604758399686
5016,284.11310722,409600,494.10627818107605,0.03372281294837269,-0.9831739383749664,-0.002346645419446908,0.03606945836781961
5088,291.18359496000005,417792,504.33040738105774,0.03920326614567125,-0.9734353196341544,-0.0021151056511710094,0.04131837179684226
5159,302.5330341,425984,513.8928716182709,0.037749757471125474,-0.9528192307800054,-0.00026445747587205477,0.03801421494699753
5228,307.55839182,434176,523.80038189888,0.03619966378767361,-0.9392588253132998,-0.0011204632458166777,0.03732012703349028
5296,325.72891594,442368,533.8840038776398,0.04049439916786506,-0.9269146846607328,-0.0010396517848945059,0.04153405095275957
5360,337.66565949999995,450560,543.5957243442535,0.05156969028872192,-0.9199864152353256,-0.0005620550210943994,0.052131745309816326
5424,348.97370554,458752,553.5356070995331,0.05573068322765432,-0.9059537970926612,-0.00013675587333016439,0.05586743910098448
5488,354.7869856,466944,563.4286260604858,0.05994519237240553,-0.9047031490597874,0.00023525233184870322,0.05970994004055683
5551,359.1754540000001,475136,573.0328545570374,0.05148692496415197,-0.9067947515286505,0.0005090102608987726,0.05097791470325319
5614,357.90516629999996,483328,582.9110686779022,0.048519031455540304,-0.9075695945881307,-0.00015659851197044424,0.04867562996751076
5678,360.84650197999997,491520,592.9200575351715,0.06773953977042901,-0.902782634086907,0.00039908060060178663,0.06734045916982723
5740,366.84624299999996,499712,602.7606263160706,0.04143311849185489,-0.8867233340628445,-0.0003214790261924904,0.04175459751804737
5802,365.03285831999995,507904,612.2959904670715,0.038708847209975486,-0.870372740039602,8.748297438852578e-05,0.03862136423558695
5863,375.92858002,516096,622.0138835906982,0.0428723843900765,-0.8561363000422716,-0.00011164686132234215,0.042984031251398845
5925,374.81946712000007,524288,631.6802492141724,0.03863780398421722,-0.8397345768287778,0.0009555156399771456,0.037682288344240075
5985,377.31330418000005,532480,641.6925330162048,0.03502462935249718,-0.8240964449476451,-0.00040814715101511066,0.03543277650351229
6049,376.7845006,540672,651.5734567642212,0.03289576817609672,-0.8158179665450007,-0.0004901511262305173,0.03338591930232724
6109,378.230154,548864,661.2833752632141,0.04330266827958027,-0.8099449303001165,-0.0007618031524312187,0.04406447143201149
6170,382.61983719999995,557056,671.240259885788,0.034809827914370886,-0.8069863351527602,0.0007082001825732504,0.03410162773179763
6230,384.7241125600001,565248,680.7787933349609,0.03561557863730061,-0.7921542968135327,8.14813128113389e-05,0.03553409732448927
6290,390.16879517999996,573440,690.4057788848877,0.033183291847919995,-0.777144543081522,0.0002670572735701877,0.0329162345743498
6350,389.31739578,581632,700.4081439971924,0.029433821802973614,-0.7633580622728914,9.42944635028109e-05,0.029339527339470806
6410,393.33978268,589824,710.2986829280853,0.02832240128843184,-0.7448386783711612,0.00014620431153959806,0.02817619697689224
6466,399.3487910399999,598016,720.0541622638702,0.021987624371854003,-0.7264351882506161,0.0002229202275652333,0.02176470414428877
6526,399.1432343,606208,729.9195446968079,0.019479557198936393,-0.7163167011458427,0.0003193842420462263,0.019160172956890164
6585,401.1594140600001,614400,739.8523468971252,0.019760260303103173,-0.7120855125132948,0.000501502032868706,0.019258758270234468
6642,398.6702283,622592,749.5960204601288,0.017604842390391125,-0.7008010344579816,0.00022627017897218333,0.01737857221141894
6701,405.18074448,630784,759.6739633083344,0.018725799579592063,-0.6797144148964435,-5.36820867506272e-05,0.01877948166634269
6758,407.33389066,638976,769.6320931911469,0.021621852260540426,-0.6694106048438698,0.0002933048701552174,0.02132854739038521
6814,412.03020870000006,647168,779.1318693161011,0.020852008709234086,-0.6649934720713645,0.0008751152930374696,0.019976893416196618
6871,414.91736285999997,655360,788.9171211719513,0.02583215089637413,-0.6516257936134935,-0.00012587819144066324,0.025958029087814794
6926,422.76689572000004,663552,798.801730632782,0.03499702232096387,-0.637753025861457,0.0014320104480575414,0.03356501187290632
6982,430.36505284,671744,808.7061657905579,0.038855020294805295,-0.6309846200514585,0.002164007487600327,0.03669101280720497
7036,434.36330846000004,679936,818.6426966190338,0.04022602371891953,-0.6310775480698794,0.0025681024340385153,0.03765792128488101
7090,437.47759276,688128,828.477420091629,0.038873169132179045,-0.6258080900646746,0.0005918096976837977,0.038281359434495246
7144,442.86656474000006,696320,837.7957494258881,0.03769672192616504,-0.6099890524055809,0.0012300692757498443,0.036466652650415196
7197,444.74501028,704512,847.7264161109924,0.03857435487180029,-0.6155184149742127,0.0006122338130828246,0.037962121058717456
7249,453.94056689999996,712704,857.742885351181,0.03674014917770462,-0.6104117610491813,0.0009475223841137268,0.035792626793590895
7299,481.07695026,720896,867.5584161281586,0.047116534309038546,-0.6069753278512507,0.0005580560012228753,0.046558478307815676
7348,496.52572755999995,729088,877.5659227371216,0.06619546380109985,-0.5999849466606975,0.0014017411276059492,0.0647937226734939
7397,500.79807992,737280,887.6709454059601,0.05287541459068833,-0.5916907713282853,0.001356917060673896,0.05151849753001443
7443,523.8273815,745472,897.4967305660248,0.056876679793563936,-0.5792353412136435,0.0008071443199840385,0.05606953547357989
7488,553.58276742,753664,907.7559988498688,0.055555710606988815,-0.56773850931786,0.0006663103863890324,0.05488940022059978
7531,575.6492326800001,761856,917.621839761734,0.03779112548456334,-0.5493195772636682,0.00026043938889353343,0.037530686095669806
7575,587.7446972799999,770048,927.5162434577942,0.04960162302710489,-0.5294261845294386,0.0011399635392659812,0.04846165948783891
7616,601.26864978,778240,937.324375629425,0.031079681516432117,-0.5267411839682609,0.0007236172617849056,0.030356064254647208
7657,631.4537890800001,786432,947.0269167423248,0.040790514339309754,-0.518727808073163,0.0007577824543975487,0.04003273188491221
7695,650.67571096,794624,956.8486351966858,0.029093545159943206,-0.501656933920458,-5.5389878631355045e-05,0.029148935038574564
7734,662.62499156,802816,966.2854657173157,0.020976326204947167,-0.49520747119095176,0.0010161696233461233,0.01996015658160104
7771,670.23486364,811008,976.0686483383179,0.01903405181611115,-0.48969560200348494,0.0012390511219610733,0.017795000694150076
7808,668.8334507200001,819200,986.0843484401703,0.016427657217645025,-0.4767418413190171,0.0008586013742561004,0.015569055843388923
7845,679.5040077399999,827392,995.8984923362732,0.025649315125798256,-0.46384646885562686,0.00010061202966064236,0.025548703096137614
7880,704.0077589399999,835584,1005.32563996315,0.04311235878388645,-0.451891346112825,0.0028380344273809177,0.040274324356505534
7916,708.1672152400001,843776,1015.6430566310883,0.025489107543204124,-0.44445909762289376,0.001715777349623648,0.023773330193580477
7951,715.9838412800001,851968,1025.9390215873718,0.028062709260327712,-0.43791111328173427,0.0009788793198163626,0.02708382994051135
7988,695.859151,860160,1036.1900146007538,0.03833908194754252,-0.43401711704209445,0.0007051713244254004,0.03763391062311712
8024,702.32447042,868352,1046.3920195102692,0.041778626771646066,-0.42305172216147185,0.0010929798595848634,0.0406856469120612
8057,727.2896631800002,876544,1056.2793667316437,0.02813011279129014,-0.401823878986761,0.001041397103812328,0.027088715687477817
8092,732.1942348,884736,1066.7650306224823,0.023557314959754987,-0.3856871772790328,0.000878587416929915,0.022678727542825072
8127,736.7652429,892928,1076.7948610782623,0.024547703537154013,-0.3819600037299097,0.0008712375401036135,0.0236764659970504
8159,764.74663672,901120,1086.5170516967773,0.02554223863259957,-0.3815541912568733,0.0003343415915174583,0.025207897041082106
8187,843.50190342,909312,1096.4308052062988,0.022177555288740707,-0.38278378134127705,0.0018151598488798572,0.020362395439860848
8213,938.4773995399999,917504,1106.2244899272919,0.01836769042594392,-0.3739292528945953,0.0014579129490950916,0.016909777476848832
8237,1001.51283682,925696,1115.9574875831604,0.014922837673976013,-0.368061950802803,0.0009425258036120665,0.013980311870363948
