num_episodes,total_time,ep_rew_mean,total timesteps,total_loss,value_loss,entropy_loss,policy_gradient_loss
2640,119.36991953849792,-11.794569099999999,132096,0.011454130092798265,0.004804672658792697,0.6051887515932322,0.0066494574340055694
2660,120.19389605522156,-11.52421998,133120,0.005816224868360975,0.0060828736968687735,0.6114941844716668,-0.0002666488285077977
2680,121.06476068496704,-11.288927039999999,134144,0.007606246282901814,0.005049078146839747,0.6158125819638371,0.002557168136062067
2700,121.9517023563385,-10.94940958,135168,0.008657282159056857,0.007061615899147,0.6201084405183792,0.0015956662599098577
2720,122.83469724655151,-11.062989660000001,136192,0.015194627798995951,0.007739227810816374,0.6253223996609449,0.007455399988179579
2744,123.6969165802002,-11.921172880000002,137216,0.022587442602396566,0.007066582384140929,0.6356590092182159,0.015520860218255637
2764,124.61277961730957,-11.564282200000001,138240,0.01356073387795933,0.005812665012854268,0.6413645027205348,0.0077480688651050626
2784,125.46393275260925,-10.717675360000001,139264,0.00589503799828007,0.005162653236766346,0.651496428065002,0.0007323847615137244
2804,126.38399648666382,-10.10314884,140288,0.009259219213970502,0.0063116318597167265,0.6576655944809318,0.002947587354253776
2824,127.28796291351318,-11.219685519999999,141312,0.005150457514471778,0.0036997970291849924,0.6708901757374406,0.001450660485286786
2844,128.136155128479,-11.458331359999999,142336,0.008479240910959075,0.007619939242431428,0.6881701536476612,0.0008593016685276469
2864,128.96902918815613,-10.90298516,143360,0.007871860260716759,0.006927506503416225,0.7006144700571895,0.0009443537573005331
2884,129.88818550109863,-10.705347219999998,144384,0.008002809486678163,0.005575129511271371,0.7144644623622298,0.002427679975406793
2908,130.78190636634827,-10.15757226,145408,0.013713029353382226,0.008450193330645561,0.7197484252974391,0.005262836022736665
2928,131.79476022720337,-9.82803116,146432,0.012820074413746989,0.006756545364623889,0.7194552421569824,0.006063529049123099
2948,132.8477692604065,-10.02485692,147456,0.008322697138826239,0.0070117161703819875,0.731074714101851,0.001310980968444251
2968,133.92336201667786,-10.63990988,148480,0.015176083118420476,0.005485764446348185,0.7450267150998116,0.009690318672072293
2988,134.94507598876953,-10.2825092,149504,0.005205459232579881,0.004349492657638621,0.7499746140092611,0.0008559665749412603
3008,136.19345259666443,-9.9249324,150528,0.008536727246108954,0.006459196345531382,0.7485933816060424,0.0020775309005775728
3028,137.26052021980286,-10.21075968,151552,0.01040066074825392,0.005690708854672266,0.7434700299054384,0.004709951893581653
3048,138.54994869232178,-10.40484458,152576,0.010181510782524703,0.0047445410054933745,0.7485793549567461,0.005436969777031327
3072,139.68273520469666,-10.12664508,153600,0.009350066319411725,0.005052694268670166,0.7523136083036661,0.004297372050741559
3092,140.57770919799805,-10.027568319999999,154624,0.006008176998540713,0.004157418699833215,0.7615431798622012,0.0018507582987074974
3112,141.49715161323547,-10.347517499999999,155648,0.012215265953292784,0.005928251242949045,0.7705441825091839,0.006287014710343739
3132,142.38639950752258,-11.31938084,156672,0.004426025451824659,0.006331296332064085,0.7849688865244389,-0.0019052708802394253
3152,143.23913669586182,-10.943757039999998,157696,0.006716025120945258,0.005640019877318991,0.7887243796139956,0.0010760052436262655
3172,144.11404943466187,-10.829191419999997,158720,0.008737074554458643,0.0034588942253321875,0.7866445509716868,0.005278180329126456
3192,144.96088004112244,-10.24428136,159744,0.008844203966115918,0.004476079033338465,0.792242594063282,0.0043681249327774535
3212,145.80127215385437,-10.021325800000001,160768,0.006631220846441353,0.004133532776904758,0.796012382954359,0.002497688069536595
3232,146.6405885219574,-10.232008899999999,161792,0.00529443654573727,0.0043112654420838226,0.8051597056910396,0.0009831711036534475
3256,147.540940284729,-9.81243464,162816,0.004739175109357868,0.004506456603849074,0.8111571380868554,0.00023271850550879523
3276,148.42929315567017,-9.55643498,163840,0.010994291384043755,0.007425427585985744,0.8201201939955354,0.0035688637980580114
3296,149.29522061347961,-9.25270364,164864,0.0050509828548008,0.005393803763581673,0.8342033438384533,-0.00034282090878087225
3316,150.20866632461548,-9.12795882,165888,0.0076638251318596855,0.005102884493680904,0.8442233242094517,0.002560940638178782
3336,151.09335112571716,-9.16228962,166912,0.008608468773245778,0.0029215692866273457,0.8515973975881934,0.005686899486618432
3356,152.01276302337646,-9.516251619999998,167936,0.006413880841240004,0.006241807554033585,0.8573773484677076,0.00017207328720641904
3376,152.90497756004333,-9.838465320000001,168960,0.012496110009374183,0.008054623758653179,0.8541107140481472,0.0044414862507210036
3396,153.74376273155212,-9.8495319,169984,0.006994816842595264,0.005189446943404619,0.8553449092432857,0.001805369899190644
3420,154.62185335159302,-9.31232372,171008,0.004315605876329515,0.004606091484674835,0.8629246754571795,-0.0002904856083453199
3440,155.45568442344666,-9.29223834,172032,0.008646597487359457,0.004476079062442295,0.8726781895384192,0.004170518424917162
3460,156.31534147262573,-8.95843788,173056,0.0117998694313865,0.005332498967618449,0.8859660485759377,0.006467370463768052
3480,157.17887568473816,-9.16192666,174080,0.010384905166085184,0.008478113762976136,0.895055515691638,0.0019067914031090484
3500,158.08095788955688,-8.9952595,175104,0.010138572614102226,0.0050167761255579535,0.907520804554224,0.005121796488544272
3520,158.9366738796234,-8.815426200000001,176128,0.007263621777905757,0.006901336451846873,0.9221265995875001,0.0003622853260588836
3540,159.83907794952393,-8.856212840000001,177152,0.0053748063727312055,0.004149053045694018,0.9394506448879838,0.0012257533270371877
3560,160.84314060211182,-9.38207924,178176,0.012326480592431336,0.005157980918738758,0.948420686647296,0.007168499673692578
3584,161.81353735923767,-8.99772026,179200,0.006492328081038312,0.005188891131183482,0.9494930803775787,0.0013034369498548298
3604,162.69716453552246,-9.45751766,180224,0.014831577910476323,0.004415031118696788,0.9524229364469647,0.010416546791779535
3624,163.51738834381104,-9.198912779999999,181248,0.005482987389996786,0.004749282721604686,0.9556125914677978,0.0007337046683920988
3644,164.3995807170868,-9.70089718,182272,0.004895447088698739,0.004244967349222861,0.9598821047693491,0.0006504797394758777
3664,165.3981330394745,-8.872522080000001,183296,0.011750965454691953,0.00422896603049594,0.9627272821962833,0.007521999424196013
3684,166.26189613342285,-9.04634614,184320,0.005230380151812531,0.0040356938043260016,0.9620684273540974,0.0011946863474865286
3704,167.1757595539093,-9.514113700000001,185344,0.010841163401951405,0.0040646060260769445,0.9738146299496293,0.006776557375874462
3724,168.00523734092712,-9.445370239999999,186368,0.007018793594161666,0.0031275926412490662,0.9846563041210175,0.003891200952912599
3744,168.84234142303467,-9.31200654,187392,0.003118636780117214,0.004088580019015353,0.9914674097672105,-0.0009699432388981394
3768,169.78134846687317,-9.522548259999999,188416,0.010302093412310535,0.005021089018555358,1.0007382594048977,0.005281004393755177
3788,170.70873713493347,-8.94961774,189440,0.006584737739436526,0.003374502462975215,1.0162336621433496,0.0032102352764613114
3808,171.6036627292633,-9.49909224,190464,0.010107574944208504,0.005076386916698539,1.026988074183464,0.0050311880275099655
3828,172.52262234687805,-8.809682020000002,191488,0.007071426340348106,0.0048522675497224554,1.0284218490123749,0.00221915879062565
3848,173.35594534873962,-8.508100659999998,192512,0.008454664894893726,0.004203742228128249,1.0225307382643223,0.004250922666765477
3868,174.3253309726715,-8.430907819999998,193536,0.00438672782174058,0.004189817893347936,1.0216178931295872,0.0001969099283926439
3888,175.19790887832642,-7.7973970999999995,194560,0.00737899074284402,0.002855233649825095,1.0246834084391594,0.004523757093018925
3908,176.08684611320496,-8.414214,195584,0.009261410716969886,0.005365185626942548,1.0341641958802938,0.0038962250900273394
3932,177.1581892967224,-8.93272832,196608,0.006100982793022642,0.00400759016883967,1.039753520861268,0.002093392624182972
3952,178.1094422340393,-9.15845536,197632,0.010444741004227522,0.003386917765965336,1.043539822101593,0.007057823238262186
3972,179.08162808418274,-9.19866312,198656,0.004383651068086513,0.004255258472767309,1.0392007064074278,0.0001283925953192029
3992,179.9763741493225,-8.59639306,199680,0.0042783256436504736,0.0033536494884174317,1.0357245337218046,0.0009246761552330415
4012,180.93576502799988,-8.28389224,200704,0.005407560849616846,0.0042275476989743765,1.0313227474689484,0.0011800131506424691
4032,181.7689061164856,-8.739293400000001,201728,0.010877664308875566,0.006867641281132819,1.0269828215241432,0.004010023027742748
4052,182.59397339820862,-8.936341400000002,202752,0.006930077276936372,0.004717055964647443,1.0264214724302292,0.002213021312288929
4072,183.46976852416992,-9.05557506,203776,0.011116651615450123,0.00492880551610142,1.0288984179496765,0.006187846099348703
4096,184.35823369026184,-8.889482860000001,204800,0.006700881232101849,0.004426908872119384,1.039524732157588,0.0022739723599824653
4116,185.22163343429565,-8.800291160000002,205824,0.009882332655014536,0.005239319603788317,1.0488169081509113,0.004643013051226219
4136,186.37111449241638,-8.76458352,206848,0.008381975288413245,0.005868487798579736,1.0604563299566507,0.002513487489833509
4156,187.29742693901062,-9.350788979999999,207872,0.00503591524246789,0.003396007898118114,1.0735584311187267,0.001639907344349776
4176,188.197674036026,-9.16001998,208896,0.00857890713173241,0.0051688000585272675,1.0796743743121624,0.0034101070732051424
4196,189.08037519454956,-9.168363359999999,209920,0.006406443834145873,0.003511771181365475,1.0852530412375927,0.0028946726527803984
4216,189.99411273002625,-9.218004659999998,210944,0.004302901570539111,0.004178290277195629,1.0878382325172424,0.00012461129334348227
4236,190.88804483413696,-8.56374944,211968,0.007395317195006666,0.0035356152438907884,1.0850796271115541,0.003859701951115878
4256,191.81247115135193,-8.385640519999999,212992,0.005627370988773757,0.003921408870155574,1.0853899978101254,0.0017059621186181822
4280,192.79937291145325,-8.96089132,214016,0.007143145651385708,0.0037913223368377658,1.0900540258735418,0.003351823314547942
4300,193.66705060005188,-9.34967138,215040,0.007338680594456227,0.004793222278749454,1.0934129375964403,0.0025454583157067732
4320,194.58067679405212,-8.584615900000001,216064,0.0026124129590920295,0.0032827738959895214,1.0969528704881668,-0.0006703609368974923
4340,195.48993945121765,-8.90434468,217088,0.008644101842030634,0.0031129604558373103,1.094880873337388,0.005531141386193322
4360,196.46169781684875,-9.365056719999998,218112,0.007993762203159215,0.005498030457601999,1.0891051590442657,0.002495731745557216
4380,197.43084502220154,-9.55904952,219136,0.005730858888368904,0.002996402216012939,1.0894729942083359,0.0027344566723559644
4400,198.2960343360901,-8.82659754,220160,0.0039890944190340265,0.004209553393593524,1.0887851007282734,-0.0002204589745594969
4420,199.19546723365784,-8.74804552,221184,0.004000541618081866,0.0024967846693471074,1.0847692787647247,0.001503756948734758
4444,200.0513117313385,-9.132026340000001,222208,0.0020217903557783576,0.0038297056416922715,1.0905415620654821,-0.0018079152859139136
4464,200.95365929603577,-9.327827000000001,223232,0.005967615375105003,0.004370353050944686,1.106688342988491,0.0015972623241603174
4484,201.7869803905487,-8.419807220000001,224256,0.008017796287297495,0.0035396638322708895,1.1166272386908531,0.004478132455026606
4504,202.65715503692627,-8.157733799999999,225280,0.01344862840984876,0.004220376711600693,1.1175140086561441,0.009228251698248067
4524,203.61199498176575,-7.810734999999999,226304,0.008166747338044676,0.004145448863710044,1.121379191055894,0.004021298474334632
4544,204.52463507652283,-8.35593382,227328,0.004877584644215383,0.00622528231178876,1.127751998603344,-0.001347697667573377
4564,205.354651927948,-8.55281016,228352,0.008265259473740268,0.0037366559481597506,1.130862606689334,0.0045286035255805174
4584,206.23353624343872,-8.97826568,229376,0.003395984108328509,0.004806129392818548,1.1345270052552223,-0.0014101452844900383
4608,207.2886278629303,-8.83002466,230400,0.0076558659379170994,0.004299304226151435,1.1364369988441467,0.0033565617117656656
4628,208.16335034370422,-9.04842744,231424,0.00642147960168342,0.004220258036184532,1.1435707993805408,0.002201221565498888
4648,209.03430843353271,-9.42335256,232448,0.006127080508901612,0.005003964724892285,1.151840452104807,0.001123115784009327
4668,209.97186851501465,-9.451223980000002,233472,0.009010698835048077,0.003869175172440009,1.1508938558399677,0.005141523662608067
4688,210.88181281089783,-9.10977144,234496,0.0009738220392451196,0.004011989371065283,1.1542125102132559,-0.0030381673318201634
4708,211.97569465637207,-8.96940934,235520,0.009084013263323441,0.004583778327287291,1.1561844050884247,0.00450023493603615
4728,213.0151891708374,-8.373334139999999,236544,0.005672745793536564,0.0038953822368057445,1.161314196884632,0.0017773635567308196
