num_episodes,total timesteps,total_time,ep_rew_mean,total_loss,entropy_loss,value_loss,policy_gradient_loss
2242,147456,106.0637137889862,305.02,0.7513989332635824,-0.3221108801662922,0.753240721533075,-0.001841788269492529
2242,148480,106.79417872428894,305.02,0.0904712096695848,-0.32904595136642456,0.09104394598398358,-0.0005727363143987862
2246,149504,107.52360701560974,370.08,0.0840363991086906,-0.32112836837768555,0.08602434565545991,-0.0019879465467693216
2246,150528,108.24638986587524,370.08,4.518381816046286,-0.3236028030514717,4.517264803871512,0.0011170121747732507
2246,151552,108.95899486541748,370.08,0.10557153495772145,-0.33376053906977177,0.10451672814087942,0.0010548068168420406
2246,152576,109.68618535995483,370.08,0.08688494730788192,-0.32773636654019356,0.0885812776396051,-0.0016963303317231876
2250,153600,110.42346000671387,434.1,0.0585277146747443,-0.3213285058736801,0.06364461482735351,-0.005116900152609206
2250,154624,111.1572949886322,434.1,5.264399509439601,-0.3454997390508652,5.26427111402154,0.00012839541806103805
2250,155648,111.92017126083374,434.1,0.12291024119468735,-0.3595099523663521,0.12857778673060238,-0.005667545535915036
2250,156672,112.66293740272522,434.1,0.09033219869730441,-0.3588249273598194,0.09289123839698732,-0.002559039699682896
2254,157696,113.3612904548645,495.8,0.044858313033499936,-0.35957061871886253,0.046546001511160284,-0.0016876884776603474
2254,158720,114.0986099243164,495.8,6.704715535245295,-0.36253182403743267,6.703296385705471,0.0014191495398237432
2254,159744,114.83197259902954,495.8,0.11411407599763519,-0.35327049158513546,0.11470302054658532,-0.0005889445489501248
2254,160768,115.5446605682373,495.8,0.10173084954533344,-0.35930608958005905,0.10227942862547934,-0.0005485790801458933
2258,161792,116.29305768013,557.62,0.10255114350202887,-0.3665482494980097,0.09223494800971821,0.010316195492310666
2258,162816,117.04010725021362,557.62,6.8828617204341045,-0.3620291370898485,6.881497772410512,0.0013639480235917937
2260,163840,117.73292422294617,560.66,0.056905147901221226,-0.3731217719614506,0.06198912422405556,-0.00508397632283434
