total_time,n_koeff,novelty,reward,iteration
46.022905349731445,0.0,0.005,-18.94772608407912,139
46.34803485870361,0.0,0.005,-18.71824140259316,140
46.69012093544006,0.0,0.005,-18.42784773205628,141
47.0312077999115,0.0,0.005,-18.368416692000157,142
47.38429498672485,0.05,0.005,-18.106865552413364,143
47.721364974975586,0.0,0.005,-18.004464728103578,144
48.07788610458374,0.05,0.005,-17.62301473029994,145
48.37708568572998,0.0,0.005,-17.657104415185103,146
48.66734290122986,0.05,0.005,-17.700725988624516,147
48.94656252861023,0.1,0.005,-17.725601872368312,148
49.23479413986206,0.15000000000000002,0.005,-17.75131987777971,149
49.56790089607239,0.2,0.005,-17.776445459148878,150
49.91896295547485,0.25,0.005,-17.842165196534122,151
50.24119758605957,0.2,0.005,-17.852989791771947,152
50.530426025390625,0.25,0.005,-17.912439151320648,153
50.84757685661316,0.3,0.005,-17.90265490658169,154
51.20063304901123,0.25,0.005,-17.93215539954562,155
51.55272603034973,0.3,0.005,-17.87628926352223,156
51.87084102630615,0.25,0.005,-17.860809628000347,157
52.19709515571594,0.2,0.005,-17.87668593912567,158
52.492305755615234,0.25,0.005,-17.850476939433165,159
52.809457778930664,0.2,0.005,-17.8312865565388,160
53.11524844169617,0.25,0.005,-17.740015936882536,161
53.40244793891907,0.3,0.005,-17.748273083366705,162
53.69466519355774,0.35,0.005,-17.704975501397072,163
54.00683259963989,0.39999999999999997,0.005,-17.700398714396137,164
54.30004620552063,0.35,0.005,-17.684339058556525,165
54.60024356842041,0.39999999999999997,0.005,-17.672280009483387,166
54.89146614074707,0.35,0.005,-17.71027322140568,167
55.20269417762756,0.3,0.005,-17.69800462787063,168
55.49291753768921,0.35,0.005,-17.715966602805135,169
55.78218102455139,0.3,0.005,-17.74012986149203,170
56.06937766075134,0.25,0.005,-17.730706459401986,171
56.372565269470215,0.3,0.005,-17.64467177073144,172
56.660857915878296,0.35,0.005,-17.682980034778545,173
56.95606875419617,0.3,0.005,-17.690324839254266,174
57.34004497528076,0.35,0.005,-17.69885102136694,175
57.739975929260254,0.3,0.005,-17.724047224109135,176
58.1528685092926,0.35,0.005,-17.73016582914859,177
58.5318546295166,0.3,0.005,-17.715881880785012,178
58.828063011169434,0.25,0.005,-17.726648122547584,179
59.214031457901,0.3,0.005,-17.711681299736707,180
59.591022968292236,0.35,0.005,-17.646814626523405,181
59.9630286693573,0.3,0.005,-17.597375047833506,182
60.299163579940796,0.35,0.005,-17.573030502515657,183
60.6162805557251,0.3,0.005,-17.665481453036975,184
60.95237493515015,0.35,0.005,-17.64053879001731,185
61.3373076915741,0.39999999999999997,0.005,-17.605984112377847,186
61.73224949836731,0.35,0.005,-17.62910947279117,187
62.13317680358887,0.39999999999999997,0.005,-17.579502664644576,188
62.462299823760986,0.35,0.005,-17.647021114132052,189
62.801390647888184,0.3,0.005,-17.661240404279653,190
63.11259460449219,0.25,0.005,-17.580394526541554,191
63.45165181159973,0.3,0.005,-17.56923831034618,192
63.75986075401306,0.25,0.005,-17.554769956180635,193
64.06301712989807,0.3,0.005,-17.50759680286977,194
64.36820030212402,0.25,0.005,-17.431571377733363,195
64.686350107193,0.2,0.005,-17.404468385253693,196
65.00552988052368,0.15000000000000002,0.005,-17.399930783621272,197
65.36354064941406,0.10000000000000002,0.005,-17.368336585240332,198
65.7505042552948,0.15000000000000002,0.005,-17.346287264746724,199
66.10655236244202,0.2,0.005,-17.305551750122095,200
66.47955393791199,0.15000000000000002,0.005,-17.26618914577343,201
66.90844321250916,0.10000000000000002,0.005,-17.20851730260672,202
67.25847220420837,0.05000000000000002,0.005,-17.185836092866985,203
67.60277819633484,1.3877787807814457e-17,0.005,-17.173416580065307,204
67.91590857505798,0.0,0.005,-17.15646689829468,205
68.23904228210449,0.0,0.005,-17.115910324001128,206
68.54472303390503,0.0,0.005,-17.102310042916084,207
68.85475444793701,0.0,0.005,-17.058359368260117,208
69.16791796684265,0.05,0.005,-17.02901378607922,209
69.50205993652344,0.0,0.005,-17.032307761877405,210
69.85508108139038,0.05,0.005,-17.104052781383277,211
70.20414590835571,0.1,0.005,-17.11670735021253,212
70.55040454864502,0.05,0.005,-17.195457690565156,213
70.90554237365723,0.0,0.005,-17.219105560783593,214
71.25361132621765,0.05,0.005,-17.184651283500273,215
71.58572340011597,0.0,0.005,-17.2410636213293,216
71.9337956905365,0.05,0.005,-17.228749420727034,217
72.26490712165833,0.1,0.005,-17.20641647478849,218
72.57731223106384,0.15000000000000002,0.005,-17.191991231973656,219
72.90846037864685,0.10000000000000002,0.005,-17.18124381910768,220
73.2306010723114,0.15000000000000002,0.005,-17.15709097909681,221
73.55270385742188,0.10000000000000002,0.005,-17.15993353666313,222
73.95263624191284,0.15000000000000002,0.005,-17.10067080418937,223
74.33361649513245,0.10000000000000002,0.005,-17.055188231445467,224
74.74152398109436,0.05000000000000002,0.005,-17.029441930208872,225
75.0806176662445,1.3877787807814457e-17,0.005,-17.017550705324194,226
75.4725730419159,0.05000000000000002,0.005,-16.97374796630552,227
75.82662272453308,1.3877787807814457e-17,0.005,-16.952570541906688,228
76.21658086776733,0.0,0.005,-16.88790870023183,229
76.59058165550232,0.0,0.005,-16.907377330121125,230
76.94463276863098,0.0,0.005,-16.924090546173137,231
77.2488203048706,0.0,0.005,-16.94617521245426,232
77.68964052200317,0.05,0.005,-16.9046110281123,233
78.03471779823303,0.0,0.005,-16.84931894701984,234
78.36683082580566,0.05,0.005,-16.785922368833894,235
78.71589708328247,0.1,0.005,-16.771564147896704,236
79.04401969909668,0.05,0.005,-16.7498802761539,237
79.34524989128113,0.0,0.005,-16.741288603297228,238
79.65937328338623,0.05,0.005,-16.74152153421901,239
79.98450493812561,0.0,0.005,-16.705833114408613,240
80.36448884010315,0.05,0.005,-16.686328042098623,241
80.70557641983032,0.0,0.005,-16.71387339918287,242
81.0307400226593,0.0,0.005,-16.71244303041788,243
81.40570521354675,0.0,0.005,-16.733932516046565,244
81.80962467193604,0.05,0.005,-16.765115462111936,245
82.2384843826294,0.1,0.005,-16.749625687152918,246
82.536789894104,0.15000000000000002,0.005,-16.71683101643682,247
82.88286352157593,0.10000000000000002,0.005,-16.694692238185837,248
83.39050507545471,0.05000000000000002,0.005,-16.70419012579848,249
83.76251006126404,1.3877787807814457e-17,0.005,-16.719964548762427,250
84.12756824493408,0.0,0.005,-16.673844320795475,251
84.45266509056091,0.0,0.005,-16.730287576969385,252
84.7648298740387,0.0,0.005,-16.69719685118321,253
85.11190247535706,0.0,0.005,-16.62958020488684,254
85.42805862426758,0.0,0.005,-16.614354538871456,255
85.7312798500061,0.0,0.005,-16.656797135031212,256
86.06937670707703,0.05,0.005,-16.635803972608997,257
86.38549613952637,0.1,0.005,-16.63348485279377,258
86.68968319892883,0.15000000000000002,0.005,-16.682132359155332,259
86.99290728569031,0.2,0.005,-16.64851188132759,260
87.29011583328247,0.25,0.005,-16.612128963840778,261
87.61225247383118,0.3,0.005,-16.599923995124907,262
87.9463222026825,0.35,0.005,-16.52437540936296,263
88.2754430770874,0.39999999999999997,0.005,-16.516370491207425,264
88.59359359741211,0.44999999999999996,0.005,-16.568061740431844,265
88.91672897338867,0.39999999999999997,0.005,-16.51887169218043,266
89.24787926673889,0.44999999999999996,0.005,-16.51655231119977,267
89.5690176486969,0.49999999999999994,0.005,-16.521341629197572,268
89.87915658950806,0.5499999999999999,0.005,-16.54393145430591,269
90.21109795570374,0.49999999999999994,0.005,-16.581218032052547,270
90.53124237060547,0.5499999999999999,0.005,-16.627599826285596,271
90.8463990688324,0.6,0.005,-16.68465402349566,272
91.15657043457031,0.5499999999999999,0.005,-16.686790922699902,273
91.46773767471313,0.49999999999999994,0.005,-16.688806424858946,274
91.78836607933044,0.44999999999999996,0.005,-16.662709837797014,275
92.11050486564636,0.39999999999999997,0.005,-16.68191070176082,276
92.42064118385315,0.44999999999999996,0.005,-16.718521808405566,277
92.74277973175049,0.49999999999999994,0.005,-16.75301281619862,278
93.0798807144165,0.44999999999999996,0.005,-16.805458515162293,279
93.3970308303833,0.49999999999999994,0.005,-16.780214373884125,280
93.74410223960876,0.5499999999999999,0.005,-16.842893923436296,281
94.0573890209198,0.49999999999999994,0.005,-16.86423277432043,282
94.38252139091492,0.5499999999999999,0.005,-16.855086122614875,283
94.73457837104797,0.6,0.005,-16.83660839526786,284
95.06572961807251,0.65,0.005,-16.867437502333836,285
95.38384175300598,0.7000000000000001,0.005,-16.852022065472102,286
95.71798205375671,0.7500000000000001,0.005,-16.831344345574642,287
96.04806590080261,0.7000000000000001,0.005,-16.86057623694418,288
96.40015864372253,0.65,0.005,-16.869185620466972,289
96.75517725944519,0.6,0.005,-16.852747935536154,290
97.12821173667908,0.5499999999999999,0.005,-16.80295191171367,291
97.50317454338074,0.49999999999999994,0.005,-16.78162958355331,292
97.88914370536804,0.44999999999999996,0.005,-16.781398143828365,293
98.27211880683899,0.39999999999999997,0.005,-16.776803480996442,294
98.67304706573486,0.35,0.005,-16.80042081588439,295
99.00120282173157,0.3,0.005,-16.80956039985925,296
99.32031631469727,0.25,0.005,-16.808606159459455,297
99.65841126441956,0.3,0.005,-16.78917486319943,298
100.0228042602539,0.25,0.005,-16.763486304884676,299
100.39178276062012,0.3,0.005,-16.75227877213582,300
100.73586225509644,0.25,0.005,-16.791364966997158,301
101.092942237854,0.2,0.005,-16.703517580961446,302
101.43598985671997,0.15000000000000002,0.005,-16.70281944508258,303
101.77412271499634,0.10000000000000002,0.005,-16.779251012533788,304
102.12318682670593,0.05000000000000002,0.005,-16.80123250077264,305
102.45530128479004,1.3877787807814457e-17,0.005,-16.799466271781164,306
102.78637933731079,0.05000000000000002,0.005,-16.802560121245268,307
103.1035647392273,0.10000000000000002,0.005,-16.81665903765675,308
103.44761323928833,0.05000000000000002,0.005,-16.80101141134087,309
103.78574132919312,1.3877787807814457e-17,0.005,-16.804719677598033,310
104.14973402023315,0.05000000000000002,0.005,-16.84395683465237,311
104.49951982498169,1.3877787807814457e-17,0.005,-16.824810437994614,312
104.84659147262573,0.05000000000000002,0.005,-16.852620439914716,313
105.16910529136658,0.10000000000000002,0.005,-16.840098436956605,314
105.54809331893921,0.05000000000000002,0.005,-16.776147981459847,315
105.90510296821594,1.3877787807814457e-17,0.005,-16.773907767827506,316
