total timesteps,total_time,ep_rew_mean,num_episodes,policy_gradient_loss,value_loss,entropy_loss,total_loss
811008,1180.8335530757904,1432.4297959,3382,-0.0004759818770287893,0.09205384886226967,-0.7398760146927088,0.09157786698524087
819200,1193.0430681705475,1557.8855212800001,3396,-0.0009939543670222444,0.07911728037179273,-0.7295522771310061,0.07812332600477048
827392,1205.2625470161438,1669.27319172,3409,-0.0015744972527286408,0.08122628016208182,-0.7326323921792209,0.07965178290935318
835584,1217.3987336158752,1659.6882533400003,3424,-0.0008320334402360123,0.09435258075500315,-0.7305220969486982,0.09352054731476714
843776,1228.9098007678986,1550.5962820200002,3445,-0.0008924608677244011,0.040462479748384794,-0.725738509139046,0.03957001888066039
851968,1240.6075332164764,1280.3005549999998,3468,-0.0005977137458505953,0.04949007072827953,-0.7135727087967098,0.048892356982428935
860160,1252.470265865326,1178.69723776,3487,0.0001035966587686378,0.07912774436008477,-0.7041009353008121,0.0792313410188534
868352,1264.355480670929,1290.3012331,3504,-0.0008003620245462792,0.04808685505995527,-0.700263895187527,0.047286493035408994
876544,1276.184672832489,1401.6815702000001,3525,-0.0006191840163063845,0.04192350611338043,-0.6922332263085991,0.04130432209707404
884736,1287.9734752178192,1225.98128026,3545,-4.347725116064342e-05,0.04042541094822809,-0.6864339752588421,0.040381933697067454
892928,1299.969946861267,1138.68703614,3570,-0.0003495824349630105,0.020072247271673404,-0.6829104596283286,0.019722664836710393
901120,1311.6532657146454,1189.6483138400001,3588,-0.0009193389604528534,0.04698710129341634,-0.668364420812577,0.04606776233296349
909312,1323.5002582073212,1257.8111204,3608,-0.0008815303511691116,0.029055150592103018,-0.6523236940149217,0.02817362024093391
917504,1335.252697944641,1274.60432894,3630,-0.0002646461201352184,0.029820037854005933,-0.6338475639000535,0.029555391733870718
925696,1346.754867553711,1302.2885241800002,3650,-0.00017328864388062816,0.03451315502061334,-0.6152036784216761,0.03433986637673271
933888,1358.944235086441,1331.2920931400001,3668,-0.0001941655761334221,0.025478559589464565,-0.6060313104651869,0.025284394013331147
942080,1370.812976360321,1427.5840857,3685,-0.0005905324032063704,0.01609092354119639,-0.5916705331765115,0.01550039113799002
950272,1382.4894647598267,1440.92411674,3704,0.000387568481714536,0.029141979235282632,-0.5810978780966252,0.029529547716997166
958464,1394.4057252407074,1324.77989134,3727,-0.00018467681384854562,0.022878677076732856,-0.5683086627162993,0.02269400026288431
966656,1406.2357294559479,1278.00931984,3747,-0.0011060937001391498,0.036706975972265354,-0.55741604459472,0.03560088227212621
974848,1418.1351091861725,1200.96204082,3771,-0.00017535600411927658,0.0207951223854252,-0.5441540506202728,0.020619766381305926
983040,1430.1143712997437,1172.0084692,3794,0.00021673305584145954,0.022165383576430032,-0.5305244419258088,0.022382116632271493
991232,1442.0080375671387,1166.57649402,3814,7.329710794873808e-05,0.020704140985253618,-0.5153565499000251,0.020777438093202354
999424,1453.81223320961,1272.05659842,3836,0.00035183580223853097,0.01404454190760589,-0.5046456341166049,0.014396377709844421
1007616,1465.5901701450348,1341.93380088,3856,0.0003871496956413664,0.025733798951659993,-0.49627829119563105,0.026120948647301356
