total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,intrinsic_loss
802816,1.336055e-14,6593.672045679999,1241.028037071228,21706,1.1569910322665238,1.163284889128887,1.0054557729978115,0.006293795666790008,1.2239114630038795e-07
811008,4.6325934e-15,6914.005667840001,1253.146303653717,21718,1.0873477561428444,1.0952449962717776,1.0035910659469665,0.007896304798185249,1.8706614959033627e-06
819200,3.631036e-14,7081.42920732,1265.6078267097473,21730,1.4662730637821368,1.4700708694445146,1.0089406576007605,0.0037974160472693808,7.792302165913339e-07
827392,7.156908e-15,7232.91826392,1277.6682169437408,21740,1.451826800929848,1.4552554413016399,1.0023759086150676,0.003428328917399654,6.229087840849135e-07
835584,2.2839418e-15,7357.94028718,1290.163595199585,21749,1.177461323866737,1.18430714292692,0.9895880742929876,0.006845792169331432,5.378170294632889e-08
843776,2.8792595e-14,7146.005758820001,1302.823204755783,21760,1.2723496843711473,1.2774564913589086,1.0046803221572191,0.005105781521767089,2.050931988362842e-06
851968,3.2060773e-15,7470.8534389199995,1315.0869455337524,21768,1.2247264273290057,1.2315661936351183,1.018860748410225,0.006839326011839811,8.80588545791594e-07
860160,1.9004582e-15,7737.21253216,1327.4791021347046,21779,1.2056932834078906,1.2105040634745456,1.0303597433492542,0.004810765293565939,2.954617812876703e-08
868352,1.2908611e-14,7656.58063872,1339.8349764347076,21789,1.551931833071285,1.5545850298468573,1.0568982403725387,0.0026531305143755977,1.3252239377155307e-07
876544,1.4293727e-14,7276.17771724,1352.341186285019,21802,1.2436358528328129,1.2476761419778355,1.0702451763674616,0.004040180059896238,2.1817025292643343e-07
884736,5.9520514e-15,7573.55882086,1364.4369885921478,21810,1.625288352210191,1.6295091148730898,1.072444668971002,0.004219619474403231,2.2863769909007776e-06
892928,1.4211934e-14,7458.29011444,1377.0161111354828,21821,1.3418817148747622,1.3477325160349825,1.0755758553743362,0.005850797396849848,7.52674092037095e-09
901120,4.5539595e-14,6778.47454596,1389.7009680271149,21836,1.5155487581563647,1.5209494171641682,1.0648973565548658,0.005400082576047764,1.1528635111560797e-06
909312,3.703444e-15,6096.330027440002,1402.6693489551544,21851,1.4445773233426735,1.4496974537132246,1.0781007057055831,0.005119993795842532,2.7314941697040296e-07
917504,1.149788e-14,5032.6261601999995,1415.0856792926788,21867,1.6222963478416204,1.6234130442508543,1.109264569915831,0.0011158018494719026,1.7891195236180435e-06
925696,4.942113e-15,4974.01783404,1427.7144827842712,21881,1.586177760816645,1.5891444560541133,1.1325399719178677,0.0029659018159260498,1.5868430848824112e-06
933888,2.5887432e-15,5371.671524859999,1440.4651379585266,21892,1.8081142949056812,1.8137204370674431,1.1549009157344698,0.005606104074748837,7.617402731814605e-08
942080,4.880283e-15,6110.91617804,1453.4319972991943,21902,1.754803696786985,1.7581940991934542,1.181873394548893,0.003390148936011294,5.069409155749119e-07
950272,3.2955011e-15,6115.266861059999,1465.911330461502,21913,1.5951297200634145,1.6003975346452264,1.1953616213053464,0.0052666925451911985,2.2440732416376117e-06
958464,4.0716493e-15,6016.399092080001,1478.6964313983917,21930,1.3605474090087228,1.3657962341895153,1.209848708473146,0.005248811831240834,2.6699103406781223e-08
966656,4.7524833e-15,6197.961629879999,1491.494615316391,21940,1.607652800407959,1.6151420565604326,1.2035571429878473,0.00748879033535563,9.316342361656918e-07
974848,1.4386966e-14,6125.218682499999,1503.8035883903503,21950,1.402183512278134,1.4103983219630745,1.1929670479148626,0.008214793961541378,3.1446798183379714e-08
983040,3.547016e-15,6341.1304222399995,1516.5678074359894,21963,1.3383918424602599,1.341843309687421,1.1949795918539166,0.003450718654729703,1.4971448629289007e-06
991232,8.7515774e-15,7081.3005973,1529.558275938034,21971,1.7593044570472558,1.76486351997641,1.2059687098488212,0.005558279340615764,1.5671770773757406e-06
999424,6.1008387e-15,7866.25217954,1542.7468514442444,21980,1.216640702218865,1.2221648556147433,1.2239954924210905,0.0055241525513736005,1.6890094751845566e-09
1007616,2.009276e-15,8107.73861604,1554.7606973648071,21988,1.3672734750798554,1.3746933149021512,1.2238149480894207,0.0074198366331287525,6.3783342142470155e-09
